job_id,job_title,job_company,job_source,best_cert_id,best_cert_title,cross_encoder_score,cert_score_max
li_4290752432,UI/UX Designer,"Steampunk, Inc.",linkedin,cert_0,Google UX Design,6.385,4.78875
li_4324763342,UX/UI Designer,"Steampunk, Inc.",linkedin,cert_0,Google UX Design,6.7066,5.0299499999999995
li_4394270475,Product Designer,Remi,linkedin,cert_1,Design Thinking Professional,3.0941,0.69431604
li_4401451723,Experience Designer,EGO,linkedin,cert_1,Design Thinking Professional,3.5501,0.79664244
li_4428474361,Product Designer,Quantifind,linkedin,cert_1,Design Thinking Professional,2.7409,0.6150579599999999
li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,cert_1,Design Thinking Professional,3.5356,0.79338864
li_4431725005,UX Designer,MDAEdge,linkedin,cert_0,Google UX Design,7.2937,5.470275
li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,cert_1,Design Thinking Professional,5.266,1.1816904
li_4433193265,UX Designer,Scale.jobs,linkedin,cert_0,Google UX Design,7.1604,5.3703
li_4433431526,Model UX Designer,Google,linkedin,cert_0,Google UX Design,6.0571,4.542825000000001
