job_id,final_score,job_title,job_company,job_source,explanation
li_4431725005,6.969,UX Designer,MDAEdge,linkedin,"KHS: 'Perancangan Interaksi' (nilai=0.80, match=1.00) -> skor kecocokan MK=1.87 | Sertifikat: 'Google UX Design' (kredibilitas=0.75, relevansi=7.29) -> kontribusi=5.47"
li_4433193265,6.657,UX Designer,Scale.jobs,linkedin,"KHS: 'Perancangan Interaksi' (nilai=0.80, match=1.00) -> skor kecocokan MK=1.61 | Sertifikat: 'Google UX Design' (kredibilitas=0.75, relevansi=7.16) -> kontribusi=5.37"
li_4324763342,5.03,UX/UI Designer,"Steampunk, Inc.",linkedin,"Sertifikat: 'Google UX Design' (kredibilitas=0.75, relevansi=6.71) -> kontribusi=5.03"
li_4290752432,4.789,UI/UX Designer,"Steampunk, Inc.",linkedin,"Sertifikat: 'Google UX Design' (kredibilitas=0.75, relevansi=6.38) -> kontribusi=4.79"
li_4433431526,4.543,Model UX Designer,Google,linkedin,"Sertifikat: 'Google UX Design' (kredibilitas=0.75, relevansi=6.06) -> kontribusi=4.54"
li_4427706568,4.522,"Web Developer (HTML,CSS) | Remote",Crossing Hurdles,linkedin,"KHS: 'Pengembangan Aplikasi Website' (nilai=0.80, match=1.00) -> skor kecocokan MK=5.65"
li_4411864449,4.385,ES Application Developer II,University of Houston,linkedin,"KHS: 'Integrasi Aplikasi Enterprise' (nilai=0.80, match=1.00) -> skor kecocokan MK=5.48"
li_4405260780,3.415,Machine Learning (ML) Engineer,Vectara,linkedin,"KHS: 'Integrasi Aplikasi Enterprise' (nilai=0.80, match=1.00) -> skor kecocokan MK=2.41 | KHS: 'Arsitektur Enterprise' (nilai=0.80, match=1.00) -> skor kecocokan MK=1.86"
li_4414938843,2.8,Web Apps Developer,Halvik,linkedin,"KHS: 'Pengembangan Aplikasi Website' (nilai=0.80, match=1.00) -> skor kecocokan MK=3.50"
li_4431711270,2.696,UX Designer,MDAEdge,linkedin,"KHS: 'Perancangan Interaksi' (nilai=0.80, match=1.00) -> skor kecocokan MK=3.37"
li_4387561209,2.687,AI Engineer,Avid Technology Professionals,linkedin,"KHS: 'Pengembangan Sistem Cerdas' (nilai=0.85, match=1.00) -> skor kecocokan MK=3.16"
li_4426358084,2.611,Full Stack Developer,Levin Furniture & Mattress,linkedin,"KHS: 'Pengembangan Aplikasi Website' (nilai=0.80, match=1.00) -> skor kecocokan MK=3.26"
li_4429459188,1.893,Data Scientist - NLP,Analytica,linkedin,"KHS: 'Penambangan Data' (nilai=0.85, match=1.00) -> skor kecocokan MK=2.23"
li_4401451723,1.864,Experience Designer,EGO,linkedin,"KHS: 'Perancangan Interaksi' (nilai=0.80, match=1.00) -> skor kecocokan MK=1.33 | Sertifikat: 'Design Thinking Professional' (kredibilitas=0.22, relevansi=3.55) -> kontribusi=0.80"
li_4423127415,1.849,Machine Learning Engineer,Oho Group,linkedin,"KHS: 'Pengembangan Sistem Cerdas' (nilai=0.85, match=1.00) -> skor kecocokan MK=2.18"
