kode_mk,khs_course,grade_weight,matched_course_name,match_confidence,included,match_explanation
-,Pemodelan Proses Bisnis,0.8,Pemodelan Proses Bisnis,1.0,True,Matched KHS course 'Pemodelan Proses Bisnis' with 'Pemodelan Proses Bisnis' (confidence: 1.00)
BBK1AAB4,Algoritma dan Pemrograman,0.8,Algoritma dan Pemrograman,1.0,True,Matched KHS course 'Algoritma dan Pemrograman' with 'Algoritma dan Pemrograman' (confidence: 1.00)
BBK1DAB3,Pengantar Sistem Informasi,0.85,Pengantar Sistem Informasi,1.0,True,Matched KHS course 'Pengantar Sistem Informasi' with 'Pengantar Sistem Informasi' (confidence: 1.00)
BBK1EAB3,Sistem Enterprise,0.8,Sistem Enterprise,1.0,True,Matched KHS course 'Sistem Enterprise' with 'Sistem Enterprise' (confidence: 1.00)
BBK1GAB3,Jaringan Komputer,0.6,Jaringan Komputer,1.0,True,Matched KHS course 'Jaringan Komputer' with 'Jaringan Komputer' (confidence: 1.00)
BBK1JAB3,Pemrograman Berorientasi Objek,0.8,Pemrograman Berorientasi Objek,1.0,True,Matched KHS course 'Pemrograman Berorientasi Objek' with 'Pemrograman Berorientasi Objek' (confidence: 1.00)
BBK1LAB3,Sistem Basis Data,0.85,Sistem Basis Data,1.0,True,Matched KHS course 'Sistem Basis Data' with 'Sistem Basis Data' (confidence: 1.00)
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,0.85,Analisis dan Perancangan Sistem Informasi,1.0,True,Matched KHS course 'Analisis dan Perancangan Sistem Informasi' with 'Analisis dan Perancangan Sistem Informasi' (confidence: 1.00)
BBK2DAB3,Pengembangan Aplikasi Website,0.8,Pengembangan Aplikasi Website,1.0,True,Matched KHS course 'Pengembangan Aplikasi Website' with 'Pengembangan Aplikasi Website' (confidence: 1.00)
BBK2EAB3,Perancangan Interaksi,0.8,Perancangan Interaksi,1.0,True,Matched KHS course 'Perancangan Interaksi' with 'Perancangan Interaksi' (confidence: 1.00)
BBK2FAB3,Sistem Operasi,0.7,Sistem Operasi,1.0,True,Matched KHS course 'Sistem Operasi' with 'Sistem Operasi' (confidence: 1.00)
BBK2HAB3,Integrasi Aplikasi Enterprise,0.8,Integrasi Aplikasi Enterprise,1.0,True,Matched KHS course 'Integrasi Aplikasi Enterprise' with 'Integrasi Aplikasi Enterprise' (confidence: 1.00)
BBK2IAB3,Keamanan Sistem Informasi,0.85,Keamanan Sistem Informasi,1.0,True,Matched KHS course 'Keamanan Sistem Informasi' with 'Keamanan Sistem Informasi' (confidence: 1.00)
BBK2JAB3,Manajemen Proyek Sistem Informasi,0.85,Manajemen Proyek Sistem Informasi,1.0,True,Matched KHS course 'Manajemen Proyek Sistem Informasi' with 'Manajemen Proyek Sistem Informasi' (confidence: 1.00)
BBK2LAB3,Penambangan Data,0.85,Penambangan Data,1.0,True,Matched KHS course 'Penambangan Data' with 'Penambangan Data' (confidence: 1.00)
BBK2NAB3,Rekayasa Proses Bisnis,0.55,Rekayasa Proses Bisnis,1.0,True,Matched KHS course 'Rekayasa Proses Bisnis' with 'Rekayasa Proses Bisnis' (confidence: 1.00)
BBK3AAB3,Arsitektur Enterprise,0.8,Arsitektur Enterprise,1.0,True,Matched KHS course 'Arsitektur Enterprise' with 'Arsitektur Enterprise' (confidence: 1.00)
BBK3BAB3,Data Warehouse dan Business Intelligence,0.6,Data Warehouse dan Business Intelligence,1.0,True,Matched KHS course 'Data Warehouse dan Business Intelligence' with 'Data Warehouse dan Business Intelligence' (confidence: 1.00)
BBK3EAB3,Proyek Perangkat Lunak,0.55,Proyek Perangkat Lunak,1.0,True,Matched KHS course 'Proyek Perangkat Lunak' with 'Proyek Perangkat Lunak' (confidence: 1.00)
BBK3FAB3,Sistem Informasi Akuntansi,0.85,Sistem Informasi Akuntansi,1.0,True,Matched KHS course 'Sistem Informasi Akuntansi' with 'Sistem Informasi Akuntansi' (confidence: 1.00)
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,0.85,Tata Kelola dan Manajemen Teknologi Informasi,1.0,True,Matched KHS course 'Tata Kelola dan Manajemen Teknologi Informasi' with 'Tata Kelola dan Manajemen Teknologi Informasi' (confidence: 1.00)
BBK4EBB3,Pengembangan Sistem Cerdas,0.85,Pengembangan Sistem Cerdas,1.0,True,Matched KHS course 'Pengembangan Sistem Cerdas' with 'Pengembangan Sistem Cerdas' (confidence: 1.00)
