course_name,sub_clo_code,rank,job_id,job_title,job_company,job_source,cross_encoder_score
Algoritma dan Pemrograman,CLO 1-SubCLO02,1,li_4419568698,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-4.0088
Algoritma dan Pemrograman,CLO 1-SubCLO02,2,li_4419575653,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-4.0088
Algoritma dan Pemrograman,CLO 1-SubCLO02,3,li_4419558780,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-4.0088
Algoritma dan Pemrograman,CLO 1-SubCLO02,4,li_4419576591,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-4.0088
Algoritma dan Pemrograman,CLO 1-SubCLO02,5,li_4419576589,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-4.0088
Algoritma dan Pemrograman,CLO 1-SubCLO03,1,li_4415952925,Computer Programmer (On-Site),CSSI,linkedin,-3.7778
Algoritma dan Pemrograman,CLO 1-SubCLO03,2,li_3815119724,Software,Bay Mortgage Services,linkedin,-4.3198
Algoritma dan Pemrograman,CLO 1-SubCLO03,3,li_4403509120,Software Engineer,KIHOMAC,linkedin,-5.5571
Algoritma dan Pemrograman,CLO 1-SubCLO03,4,li_4424958127,Product Designer,Plot,linkedin,-5.5878
Algoritma dan Pemrograman,CLO 1-SubCLO03,5,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-5.7772
Algoritma dan Pemrograman,CLO 1-SubCLO04,1,li_4428972054,User Experience Analyst,Auto-Owners Insurance,linkedin,-2.6197
Algoritma dan Pemrograman,CLO 1-SubCLO04,2,li_4418681963,Product Designer,SimpliGov,linkedin,-4.3533
Algoritma dan Pemrograman,CLO 1-SubCLO04,3,gd_1009846201389,AI Researcher,"AGI, Inc.",glassdoor,-4.5308
Algoritma dan Pemrograman,CLO 1-SubCLO04,4,li_4411650169,"Software Engineer, Trust",Notion,linkedin,-4.6097
Algoritma dan Pemrograman,CLO 1-SubCLO04,5,li_4411637470,"Software Engineer, Trust",Notion,linkedin,-4.6097
Algoritma dan Pemrograman,CLO 1-SubCLO05,1,gd_1010070797503,AI Resident - Learning From Videos (LFV),Toyota Research Institute,glassdoor,-2.6011
Algoritma dan Pemrograman,CLO 1-SubCLO05,2,li_4424958127,Product Designer,Plot,linkedin,-4.7984
Algoritma dan Pemrograman,CLO 1-SubCLO05,3,li_3907138810,Full-stack Engineer,Speak,linkedin,-5.0152
Algoritma dan Pemrograman,CLO 1-SubCLO05,4,li_4434088291,Software Engineer,C1,linkedin,-5.0616
Algoritma dan Pemrograman,CLO 1-SubCLO05,5,li_4434073696,Software Engineer,C1,linkedin,-5.0616
Algoritma dan Pemrograman,CLO 1-SubCLO06,1,li_4429569313,Full Stack Software Engineer,Treeswift,linkedin,-4.9151
Algoritma dan Pemrograman,CLO 1-SubCLO06,2,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin,-5.167
Algoritma dan Pemrograman,CLO 1-SubCLO06,3,li_4418681963,Product Designer,SimpliGov,linkedin,-5.289
Algoritma dan Pemrograman,CLO 1-SubCLO06,4,li_3907138810,Full-stack Engineer,Speak,linkedin,-5.3511
Algoritma dan Pemrograman,CLO 1-SubCLO06,5,gd_1009846201389,AI Researcher,"AGI, Inc.",glassdoor,-6.2422
Algoritma dan Pemrograman,CLO 1-SubCLO07,1,gd_1010070797503,AI Resident - Learning From Videos (LFV),Toyota Research Institute,glassdoor,-2.7678
Algoritma dan Pemrograman,CLO 1-SubCLO07,2,li_4419568698,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.6231
Algoritma dan Pemrograman,CLO 1-SubCLO07,3,li_4419576591,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.6231
Algoritma dan Pemrograman,CLO 1-SubCLO07,4,li_4419575653,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.6231
Algoritma dan Pemrograman,CLO 1-SubCLO07,5,li_4419576589,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.6231
Algoritma dan Pemrograman,CLO 1-SubCLO08,1,gd_1010070797503,AI Resident - Learning From Videos (LFV),Toyota Research Institute,glassdoor,-1.8025
Algoritma dan Pemrograman,CLO 1-SubCLO08,2,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin,-1.9047
Algoritma dan Pemrograman,CLO 1-SubCLO08,3,li_4382545707,Backend Engineer,Made Card,linkedin,-3.171
Algoritma dan Pemrograman,CLO 1-SubCLO08,4,li_4419576591,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.4836
Algoritma dan Pemrograman,CLO 1-SubCLO08,5,li_4419558780,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.4836
Algoritma dan Pemrograman,CLO 1-SubCLO09,1,li_4415952925,Computer Programmer (On-Site),CSSI,linkedin,-6.089
Algoritma dan Pemrograman,CLO 1-SubCLO09,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-6.0956
Algoritma dan Pemrograman,CLO 1-SubCLO09,3,gd_1009846201389,AI Researcher,"AGI, Inc.",glassdoor,-6.8063
Algoritma dan Pemrograman,CLO 1-SubCLO09,4,li_4434016802,Back End Developer,Cooler Master USA,linkedin,-6.8087
Algoritma dan Pemrograman,CLO 1-SubCLO09,5,gd_1010109391172,AI Tutor - Tagalog,x.ai,glassdoor,-7.1395
Algoritma dan Pemrograman,CLO 1-SubCLO10,1,li_4418681963,Product Designer,SimpliGov,linkedin,-2.8938
Algoritma dan Pemrograman,CLO 1-SubCLO10,2,li_4429955515,Product Designer,Conduct,linkedin,-3.5043
Algoritma dan Pemrograman,CLO 1-SubCLO10,3,li_4419575653,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.9479
