course_name,consolidated_clo_text,num_sub_clos,sub_clo_codes,source_files
Administrasi Basisdata,"Mata kuliah ini membekali mahasiswa untuk mengelola administrasi basis data, termasuk membuat stored procedure dan function, serta mendeteksi dan menyelesaikan masalah performa melalui fine tuning.",3,CLO01a; CLO01b; CLO01c,ITS_SI_BRIN.xlsx
Adopsi Teknologi Informasi,"Membekali mahasiswa memahami konsep difusi inovasi, proses dan penentuan inovasi, kategorisasi adopter, atribut inovasi dan tingkat adopsinya, serta model-model difusi teknologi informasi, hingga mampu menganalisis tingkat adopsi dan strategi penerimaan teknologi pada studi kasus nyata.",8,CLO 1-1.1; CLO 1-1.2; CLO 1-1.3; CLO 1-1.4; CLO 2-2.1; CLO 2-2.2; CLO 3-3.1; CLO 3-3.2,TeluSurabaya.xlsx
Algoritma dan Pemrograman,"Mencakup pemahaman dasar pemrograman (flowchart, pseudocode, variabel, tipe data, type casting, input, operator, percabangan if-else dan switch case, perulangan for/while dan bersarang, function, array, debugging, exception) lintas bahasa pemrograman, kemampuan merancang dan mengimplementasikan algoritma sederhana, serta mengembangkan solusi sistem informasi dan menganalisis permasalahan bidang infokom dalam konteks enterprise/masyarakat.",17,CLO 1-SubCLO02; CLO 1-SubCLO03; CLO 1-SubCLO04; CLO 1-SubCLO05; CLO 1-SubCLO06; CLO 1-SubCLO07; CLO 1-SubCLO08; CLO 1-SubCLO09; CLO 1-SubCLO10; CLO 1-SubCLO11; CLO 1-SubCLO12; CLO 1-SubCLO13; CLO 2-SubCLO01; CLO 3-SubCLO01; CLO-02; CLO-04; CLO-08,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Algoritma dan Struktur Data,"Mahasiswa mampu menilai kompleksitas algoritma, mengidentifikasi bug melalui debugging dan pengujian, mendesain solusi dengan pendekatan pemrograman berorientasi objek, memahami tipe struktur data abstrak dan algoritma pengelolaan data jamak, serta mengimplementasikan solusi tersebut.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Analisis dan Perancangan Sistem Informasi,"Mahasiswa mampu mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise/masyarakat, membedakan fungsi diagram pemodelan objek, mengidentifikasi masalah/studi kasus perancangan sistem, bekerja sama dalam tim, mengimplementasikan pemodelan objek ke permasalahan nyata, membuat perancangan sistem informasi menuju data-driven organization, serta menerapkan sikap adaptif dan menggunakan teknik/perangkat pengembangan aplikasi dalam kasus nyata.",9,CLO 1; CLO 1-SUBCLO-01; CLO 2-SUBCLO-02; CLO 3-SUBCLO-03; CLO 4-SUBCLO-04; CLO-01; CLO-02; CLO-03; CLO-04,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Analitika Data dan Diagnostik,"Memahami posisi Data Science dan jenjang data analytics, menghasilkan informasi melalui peringkasan dan visualisasi data, mengimplementasikan konsep statistika dan visualisasi untuk deskripsi data, serta mengimplementasikan AI/data mining/machine learning untuk diagnostic analytics.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Arsitektur Enterprise,"Mahasiswa mampu menganalisis kebutuhan arsitektur enterprise organisasi, menggunakan teknik dan kakas penyusunan arsitektur, merancang arsitektur enterprise berdasarkan framework dan bahasa pemodelan terstandardisasi sesuai kebutuhan dan justifikasi yang tepat, memodelkan kebutuhan infokom, serta mengusulkan perbaikan arsitektur/pengelolaan sistem informasi untuk mendukung tujuan organisasi.",8,CLO 1-SubCLO01; CLO 2-SubCLO02; CLO 3-SubCLO03; CLO 3-SubCLO03; CLO 3-SubCLO04; CLO-05; CLO-05; CLO-06,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Arsitektur dan Pengembangan Backend,"Menjelaskan jenis arsitektur backend, konsep web service/REST/microservice serta format response (JSON, XML), mengembangkan web service komprehensif termasuk fitur CRUD, autentikasi dan token, menggunakan kakas terkini sebagai bahasa dasar pemrograman backend, serta melakukan deployment dan evaluasi sistem backend yang telah dikembangkan.",9,CLO 1-1; CLO 1-2; CLO 2-2; CLO 2-3; CLO 2-5; CLO 3-1; CLO 3-3; CLO 3-4; CLO 3-5,TeluSurabaya.xlsx
Bahasa Indonesia,"Mahasiswa mampu menggunakan kata baku, istilah dan ejaan yang benar untuk menyusun kalimat dan paragraf ilmiah, merumuskan topik hingga menyusun kerangka dan draf karya tulis ilmiah sesuai konvensi penulisan, serta menyusun, merevisi, dan mempresentasikan karya ilmiah dengan bahasa yang baik dan benar.",3,CLO 1; CLO 2; CLO 3,TeluSurabaya.xlsx
Bahasa Inggris,"Mahasiswa mampu menulis dan menyampaikan secara lisan kalimat sederhana hingga kompleks dalam berbagai bentuk tense (present, present continuous, present perfect, past) untuk menyajikan fakta menarik seputar keahlian, kreasi teknologi, peran sistem informasi, serta pengalaman kerja dalam konteks presentasi maupun wawancara.",4,CLO 1; CLO 2; CLO 3; CLO 4,TeluSurabaya.xlsx
Capstone Design & Project,"Mahasiswa mampu mengumpulkan data dan menganalisis permasalahan, mengidentifikasi alternatif solusi dan menyusun proposal proyek komprehensif, merancang dan mengimplementasikan solusi sistem sesuai body of knowledge dan standar keteknikan, memverifikasi dan memvalidasi hasil rancangan, memanfaatkan teknologi informasi dalam penyelesaian masalah, bekerja sama dalam tim multidisiplin, mengomunikasikan hasil proyek secara lisan/tertulis, serta merencanakan, menyelesaikan, dan mengevaluasi tugas secara mandiri dalam batasan yang ada.",13,CLO 1-CLO1.1; CLO 1-CLO1.2; CLO 2-CLO 2.1; CLO 2-CLO 2.2; CLO 2-CLO 2.3; CLO 2-CLO 2.4; CLO 3-CLO 3.1; CLO 4-CLO 4.1; CLO 5-CLO 5.1; CLO 6-CLO 6.1; CLO 6-CLO 6.2; CLO 7; CLO 8,TeluSurabaya.xlsx
Data Lakehouse,"Mahasiswa mampu merancang dan membangun data warehouse, data lake, serta data lakehouse.",3,CLO01a; CLO01b; CLO01c,ITS_SI_BRIN.xlsx
Data Warehouse & Business Intelligence,"Mahasiswa mampu memodelkan kebutuhan infokom dalam konteks enterprise/masyarakat, membuat perancangan sistem informasi menuju data-driven organization, mengembangkan solusi berbasis sistem informasi dengan metodologi yang tepat, serta menggunakan metode dan perangkat lunak terkini untuk solusi di bidang data.",4,CLO 1; CLO 2; CLO 3; CLO 4,TeluSurabaya.xlsx
Data Warehouse dan Business Intelligence,"Mahasiswa mampu membuat perancangan sistem informasi menuju data-driven organization, menggunakan metode dan perangkat lunak terkini untuk solusi di bidang data, mengembangkan solusi sistem informasi dengan metodologi yang tepat, memodelkan kebutuhan infokom dalam konteks enterprise/masyarakat, serta memahami konsep dasar bidang infokom dalam disiplin ilmu sistem informasi.",5,CLO-01; CLO-01; CLO-02; CLO-05; CLO-08,Dataset_CLO_OBE_SI_TelUJakarta.xlsx
Desain Pengalaman Pengguna,"Memahami konsep dan metodologi studi pengguna serta perancangan pengalaman pengguna, menerapkan teknik memahami ruang masalah pengguna, menggali ide rancangan, merancang prototipe dan ruang solusi, serta mengevaluasi hasil rancangan.",6,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e; CLO01f,ITS_SI_BRIN.xlsx
