course_name,sub_clo_code,sub_clo_text,source_file
Administrasi Basisdata,CLO01a,Mendemonstrasikan Administrasi Basis Data,ITS_SI_BRIN.xlsx
Administrasi Basisdata,CLO01b,Membuat Stored Procedure dan Functions,ITS_SI_BRIN.xlsx
Administrasi Basisdata,CLO01c,Mendeteksi problem dan melakukan fine tuning,ITS_SI_BRIN.xlsx
Adopsi Teknologi Informasi,CLO 1-1.1,Mampu menguraikan konsep difusi inovasi,TeluSurabaya.xlsx
Adopsi Teknologi Informasi,CLO 1-1.2,Mampu menguraikan proses pengembangan dan penentuan inovasi,TeluSurabaya.xlsx
Adopsi Teknologi Informasi,CLO 1-1.3,Mampu menentukan kategorisasi adopter teknologi informasi,TeluSurabaya.xlsx
Adopsi Teknologi Informasi,CLO 1-1.4,Mampu menguraikan inovasi di organisasi,TeluSurabaya.xlsx
Adopsi Teknologi Informasi,CLO 2-2.1,Mampu menjabarkan atribut inovasi dan tingkat adopsi,TeluSurabaya.xlsx
Adopsi Teknologi Informasi,CLO 2-2.2,Mampu menguraikan model-model difusi dan adopsi teknologi informasi,TeluSurabaya.xlsx
Adopsi Teknologi Informasi,CLO 3-3.1,Mampu menganalisis tingkat adopsi dari suatu studi kasus,TeluSurabaya.xlsx
Adopsi Teknologi Informasi,CLO 3-3.2,Menganalisis strategi penerimaan teknologi informasi,TeluSurabaya.xlsx
Algoritma dan Pemrograman,CLO 1-SubCLO02,Mampu memahami flowchart dan pseudocode,TeluSurabaya.xlsx
Algoritma dan Pemrograman,CLO 1-SubCLO03,"Mampu memahami konsep variabel, tipe data, type casting, output dan comment pada pemrograman",TeluSurabaya.xlsx
Algoritma dan Pemrograman,CLO 1-SubCLO04,Mampu memahami konsep user input dan operator,TeluSurabaya.xlsx
Algoritma dan Pemrograman,CLO 1-SubCLO05,Mampu memahami penggunaan konstruksi percabangan if-then-else,TeluSurabaya.xlsx
Algoritma dan Pemrograman,CLO 1-SubCLO06,Mampu memahami penggunaan konstruksi percabangan switch case,TeluSurabaya.xlsx
Algoritma dan Pemrograman,CLO 1-SubCLO07,Mampu memahami penggunaan kontruksi perulangan for dan while,TeluSurabaya.xlsx
