course_name,sks,clo_combined_text,skill_technical_list,skill_domain_list,has_skill_tag,sources,num_rows,course_code
Administrasi Basisdata,,Mendemonstrasikan Administrasi Basis Data Membuat Stored Procedure dan Functions Mendeteksi problem dan melakukan fine tuning,,,False,ITS_Raw,3,0
Algoritma dan Pemrograman,4.0,"Mampu memahami konsep dasar bidang infokom yang digunakan dalam lingkup disiplin ilmu sistem informasi Mampu menganalisis permasalahan dalam bidang infokom dalam konteks enterprise atau masyarakat Mampu mengembangkan solusi berbasis sistem informasi menggunakan metodologi pengembangan yang tepat. Memahami dasar-dasar pemrograman komputer meliputi sejarah, cara kerja, perkembangan, serta pentingnya belajar bahasa pemrograman, dan mampu menguraikan konsep flowchart serta pseudocode. Menguasai konsep variabel, tipe data, type casting, output, comment, user input, dan berbagai jenis operator, serta mampu mengimplementasikan konstruksi percabangan if-then-else dan switch case, dan perulangan for, while, serta perulangan bersarang. Memahami konsep penggunaan function meliputi parameter, return values, dan variable scope, serta konsep array termasuk pembuatan dan akses elemennya. Mampu menerapkan debugging dan penanganan exception untuk berbagai tipe error, serta memahami konsep dasar algoritma. Mampu merancang algoritma dengan memberikan contoh penggunaan algoritma sederhana serta mampu membuat solusi program untuk menyelesaikan permasalahan atau kasus nyata yang sederhana. Mampu mengimplementasikan algoritma sederhana untuk menciptakan solusi program yang menyelesaikan permasalahan atau kasus nyata. Memahami dasar-dasar pemrograman komputer meliputi sejarah, cara kerja, perkembangan, serta pentingnya belajar bahasa pemrograman, dan mampu menguraikan konsep flowchart serta pseudocode. Menguasai konsep variabel, tipe data, type casting, output, comment, user input, dan berbagai jenis operator, serta mampu mengimplementasikan konstruksi percabangan if-then-else dan switch case, dan perulangan for, while, serta perulangan bersarang. Memahami konsep penggunaan function meliputi parameter, return values, dan variable scope, serta konsep array termasuk pembuatan dan akses elemennya. Mampu menerapkan debugging dan penanganan exception untuk berbagai tipe error, serta memahami konsep dasar algoritma. || Mampu merancang algoritma dengan memberikan contoh penggunaan algoritma sederhana serta mampu membuat solusi program untuk menyelesaikan permasalahan atau kasus nyata yang sederhana. || Mampu mengimplementasikan algoritma sederhana untuk menciptakan solusi program yang menyelesaikan permasalahan atau kasus nyata.","Algorithm Design; Data Structure; Pseudocode; Algorithm Design, Data Structure, Pseudocode",Programming & Algorithm,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,7,1
Algoritma dan Struktur Data,,Melakukan penilaian kompleksitas algoritma Mengidentifikasi bug pada proses debugging dan pengujian Mendesain solusi komprehensif dengan pendekatan PBO Memahami tipe struktur data abstrak dan algoritma pengelolaan data jamak Mengimplementasikan desain solusi dengan algoritma dan struktur data,,,False,ITS_Raw,5,2
Analisis dan Perancangan Sistem Informasi,3.0,"[PLO01-CLO03] Mampu mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise atau masyarakat [PLO02-CLO01] Mampu membuat perancangan sistem informasi untuk memenuhi kebutuhan organisasi menuju data-driven organization [PLO03-CLO02] Mampu menerapkan sikap adaptif dalam berbagai konteks profesional untuk mencapai tujuan bersama [PLO08-CLO04] Mampu menggunakan teknik, keahlian, dan perangkat dalam pengembangan aplikasi dan integrasinya dalam konteks kasus nyata Mampu mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise atau masyarakat melalui berbagai metode SDLC seperti kanban, spiral, agile, prototyping, waterfall, fast, dan RAD, serta memahami tren pengembangan perangkat lunak dan teknik penggalian kebutuhan yang menghasilkan dokumen sistem kebutuhan perangkat lunak. Menguasai pembedaan fungsi diagram pemodelan obyek, khususnya Unified Modeling Language (UML) dan Use Case Diagram (UC Diagram), termasuk notasi dan artikel ilmiah terkait. Mampu mengidentifikasi masalah atau studi kasus dalam perancangan sistem, serta memahami dan menerapkan notasi serta analisis dari robustness diagram dan sequence diagram, termasuk turunan dari use case diagram dan fase UML terkait. Mampu menyelesaikan permasalahan dan bekerja sama dalam tim melalui pemahaman mendalam tentang notasi use case diagram serta activity diagram, meliputi skenario utama dan alternatif, serta mampu menganalisis dokumen UML terkait kedua diagram tersebut. Mampu mengimplementasikan pemodelan obyek ke permasalahan nyata dengan menerapkan sequence diagram, class diagram beserta notasi dan dokumen UML terkait, serta mampu menjelaskan keseluruhan tugas dan mengevaluasi pemahaman melalui penyelesaian materi dari pertemuan awal hingga akhir. Mampu mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise atau masyarakat melalui berbagai metode SDLC seperti kanban, spiral, agile, prototyping, waterfall, fast, dan RAD, serta memahami tren pengembangan perangkat lunak dan teknik penggalian kebutuhan yang menghasilkan dokumen sistem kebutuhan perangkat lunak. Menguasai pembedaan fungsi diagram pemodelan obyek, khususnya Unified Modeling Language (UML) dan Use Case Diagram (UC Diagram), termasuk notasi dan artikel ilmiah terkait. || Mampu mengidentifikasi masalah atau studi kasus dalam perancangan sistem, serta memahami dan menerapkan notasi serta analisis dari robustness diagram dan sequence diagram, termasuk turunan dari use case diagram dan fase UML terkait. || Mampu menyelesaikan permasalahan dan bekerja sama dalam tim melalui pemahaman mendalam tentang notasi use case diagram serta activity diagram, meliputi skenario utama dan alternatif, serta mampu menganalisis dokumen UML terkait kedua diagram tersebut. || Mampu mengimplementasikan pemodelan obyek ke permasalahan nyata dengan menerapkan sequence diagram, class diagram beserta notasi dan dokumen UML terkait, serta mampu menjelaskan keseluruhan tugas dan mengevaluasi pemahaman melalui penyelesaian materi dari pertemuan awal hingga akhir.","Requirements Engineering; UML Modeling; Use Case Design; System Architecture; Requirements Engineering, UML Modeling, Use Case Design, System Architecture",Systems Analysis & Design,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,9,3
Analitika Data dan Diagnostik,,"Memahami posisi Data Science serta jenjang data analytics Menghasilkan informasi dengan meringkas dan memvisualisasikan data Mengimplementasikan konsep Statistika dan Visualisasi untuk deskripsi data Mengimplementasikan konsep AI, DM, ML untuk Diagnostic Analytics",,,False,ITS_Raw,4,4
Arsitektur Enterprise,3.0,"Mampu memodelkan kebutuhan infokom dalam konteks enterprise atau masyarakat Mampu menggunakan teknik, metode, perangkat lunak terkini untuk menghasilkan solusi di bidang pengelolaan fungsi dan bisnis organisasi dalam konteks kasus nyata Mampu mengusulkan perbaikan arsitektur atau pengelolaan sistem informasi untuk mendukung tujuan organisasi. Mampu menganalisis kebutuhan arsitektur enterprise pada suatu organisasi dengan menjelaskan definisi, latar belakang, tujuan, manfaat, prinsip, dan modelnya, serta mengidentifikasi permasalahan strategis sebagai pemicu transformasi digital, akar permasalahan, fungsi/proses bisnis yang terdampak, dan ruang lingkup perancangan arsitektur enterprise dalam konteks transformasi digital, termasuk tingkat kematangannya. Mampu menggunakan teknik dan kakas dalam menyusun arsitektur enterprise, meliputi pemahaman konsep, latar belakang, manfaat, serta perbandingan berbagai Enterprise Architecture Framework yang umum digunakan. Menguasai penerapan The Open Group Architecture Framework (TOGAF) termasuk konsep dasar, siklus ADM, pedoman, teknik, serta kerangka konten dan referensi modelnya. Mampu menerapkan bahasa pemodelan arsitektur enterprise seperti ArchiMate dalam merancang artefak arsitektur pada fase preliminary, arsitektur visi, arsitektur bisnis, arsitektur sistem informasi, dan arsitektur teknologi menggunakan aplikasi pendukung. Mampu merancang arsitektur enterprise dengan menerapkan framework dan bahasa pemodelan terstandardisasi pada studi kasus, meliputi penjelasan lingkup, tahapan, serta identifikasi artifak pada fase Preliminary, Arsitektur Visi, Arsitektur Bisnis, Arsitektur Sistem Informasi (aplikasi dan data), dan Arsitektur Teknologi. Meliputi analisis baseline, identifikasi kesenjangan, serta perumusan usulan perbaikan untuk menurunkan visi organisasi ke target arsitektur bisnis dan sistem informasi, serta finalisasi penyusunan dokumen arsitektur enterprise yang sesuai dengan standar dan justifikasi yang tepat. Mampu menganalisis kebutuhan arsitektur enterprise pada suatu organisasi dengan menjelaskan definisi, latar belakang, tujuan, manfaat, prinsip, dan modelnya, serta mengidentifikasi permasalahan strategis sebagai pemicu transformasi digital, akar permasalahan, fungsi/proses bisnis yang terdampak, dan ruang lingkup perancangan arsitektur enterprise dalam konteks transformasi digital, termasuk tingkat kematangannya. || Mampu menggunakan teknik dan kakas dalam menyusun arsitektur enterprise, meliputi pemahaman konsep, latar belakang, manfaat, serta perbandingan berbagai Enterprise Architecture Framework yang umum digunakan. Menguasai penerapan The Open Group Architecture Framework (TOGAF) termasuk konsep dasar, siklus ADM, pedoman, teknik, serta kerangka konten dan referensi modelnya. Mampu menerapkan bahasa pemodelan arsitektur enterprise seperti ArchiMate dalam merancang artefak arsitektur pada fase preliminary, arsitektur visi, arsitektur bisnis, arsitektur sistem informasi, dan arsitektur teknologi menggunakan aplikasi pendukung. || Mampu merancang arsitektur enterprise dengan menerapkan framework dan bahasa pemodelan terstandardisasi pada studi kasus, meliputi penjelasan lingkup, tahapan, serta identifikasi artifak pada fase Preliminary, Arsitektur Visi, Arsitektur Bisnis, Arsitektur Sistem Informasi (aplikasi dan data), dan Arsitektur Teknologi. Meliputi analisis baseline, identifikasi kesenjangan, serta perumusan usulan perbaikan untuk menurunkan visi organisasi ke target arsitektur bisnis dan sistem informasi, serta finalisasi penyusunan dokumen arsitektur enterprise yang sesuai dengan standar dan justifikasi yang tepat.","TOGAF; Architecture Modeling; EA Framework; TOGAF, Architecture Modeling, EA Framework",Enterprise Architecture,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,7,5
Data Lakehouse,,Merancang dan Membangun Data Warehouse Merancang dan Membangun Data Lake Merancang dan Membangun Data Lakehouse,,,False,ITS_Raw,3,6
Data Warehouse dan Business Intelligence,3.0,"Mampu memodelkan kebutuhan infokom dalam konteks enterprise atau masyarakat Mampu memahami konsep dasar bidang infokom yang digunakan dalam lingkup disiplin ilmu sistem informasi Mampu membuat perancangan sistem informasi untuk memenuhi kebutuhan organisasi menuju data-driven organization Mampu mengembangkan solusi berbasis sistem informasi menggunakan metodologi pengembangan yang tepat. Mampu menggunakan metode dan perangkat lunak terkini untuk menghasilkan solusi di bidang data dalam konteks kasus nyata Memahami konsep Business Intelligence, meliputi perkembangan, sejarah, arsitektur, perbedaan OLTP dan OLAP, perencanaan, jenis-jenis analitik, serta perbedaan analitik dan data science, dan mampu menerapkannya untuk mendukung pengambilan keputusan berbasis data serta menyelesaikan permasalahan pada perusahaan atau organisasi melalui pemodelan kebutuhan infokom dalam konteks enterprise atau masyarakat, termasuk pengenalan deskripsi data, kesiapan data, taksonomi data, dan pra-pemrosesan data. Mampu merancang sistem informasi yang mendukung organisasi menuju data-driven organization, meliputi pemahaman mendalam mengenai pengantar, perkembangan, karakteristik, serta proses dan framework data warehouse, termasuk arsitektur alternatifnya. Menguasai pengembangan data warehouse melalui teknik Extract, Transform, Load (ETL), Change Data Capture (CDC), operasi OLAP, serta implementasi data warehouse di cloud. Mampu mengembangkan solusi berbasis sistem informasi dengan menerapkan metodologi yang tepat, meliputi penggunaan konsep statistik dalam analitika data, pemodelan statistik untuk analitika bisnis, serta regression modeling untuk inferential statistics. Menguasai analisis dan pembuatan sumber data untuk data warehouse, termasuk pengukuran kinerja, Business Performance Management, Performance Measurement, Key Performance Indicator (KPI) dan implementasinya, serta Balanced Scorecard. Mampu menerapkan konsep visualisasi data untuk merancang dashboard, mencakup jenis-jenis chart dan graph, studi kasus perancangan dashboard, serta mengenali kesalahan dalam desain dashboard. Mampu menganalisis dan memproduksi sumber data untuk pembangunan data warehouse, serta merancang Key Performance Indicator (KPI) dan mengkomunikasikannya melalui dashboard, dengan memanfaatkan metode dan perangkat lunak terkini untuk menghasilkan solusi data dalam konteks kasus nyata. Memahami konsep Business Intelligence, meliputi perkembangan, sejarah, arsitektur, perbedaan OLTP dan OLAP, perencanaan, jenis-jenis analitik, serta perbedaan analitik dan data science, dan mampu menerapkannya untuk mendukung pengambilan keputusan berbasis data serta menyelesaikan permasalahan pada perusahaan atau organisasi melalui pemodelan kebutuhan infokom dalam konteks enterprise atau masyarakat, termasuk pengenalan deskripsi data, kesiapan data, taksonomi data, dan pra-pemrosesan data. || Mampu merancang sistem informasi yang mendukung organisasi menuju data-driven organization, meliputi pemahaman mendalam mengenai pengantar, perkembangan, karakteristik, serta proses dan framework data warehouse, termasuk arsitektur alternatifnya. Menguasai pengembangan data warehouse melalui teknik Extract, Transform, Load (ETL), Change Data Capture (CDC), operasi OLAP, serta implementasi data warehouse di cloud. || Mampu mengembangkan solusi berbasis sistem informasi dengan menerapkan metodologi yang tepat, meliputi penggunaan konsep statistik dalam analitika data, pemodelan statistik untuk analitika bisnis, serta regression modeling untuk inferential statistics. Menguasai analisis dan pembuatan sumber data untuk data warehouse, termasuk pengukuran kinerja, Business Performance Management, Performance Measurement, Key Performance Indicator (KPI) dan implementasinya, serta Balanced Scorecard. Mampu menerapkan konsep visualisasi data untuk merancang dashboard, mencakup jenis-jenis chart dan graph, studi kasus perancangan dashboard, serta mengenali kesalahan dalam desain dashboard. || Mampu menganalisis dan memproduksi sumber data untuk pembangunan data warehouse, serta merancang Key Performance Indicator (KPI) dan mengkomunikasikannya melalui dashboard, dengan memanfaatkan metode dan perangkat lunak terkini untuk menghasilkan solusi data dalam konteks kasus nyata.","ETL Process; OLAP; Data Modeling; Dashboard & Reporting; ETL Process, OLAP, Data Modeling, Dashboard & Reporting",Data Warehouse & BI,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,10,7
Desain Pengalaman Pengguna,,Memahami Konsep dan Metodologi Studi terhadap pengguna Memahami Konsep dan metodologi perancangan pengalaman pengguna Menerapkan teknik memahami ruang masalah pengguna Menerapkan teknik penggalian ide rancangan Menerapkan teknik perancangan prototipe dan ruang solusi Menerapkan teknik evaluasi terhadap rancangan,,,False,ITS_Raw,6,8
Desain dan Manajemen Jaringan Komputer,,Memahami konsep arsitektur & infrastruktur jaringan perusahaan Memahami dan menyusun desain jaringan komputer Merancang jaringan komputer sesuai kebutuhan pengguna,,,False,ITS_Raw,3,9
