course_code,course_name,rank,similarity,job_id,job_title,job_company,job_source
BBK1AAB4,Algoritma dan Pemrograman,1,0.8131,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK1AAB4,Algoritma dan Pemrograman,2,0.8094,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin
BBK1AAB4,Algoritma dan Pemrograman,3,0.8075,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK1AAB4,Algoritma dan Pemrograman,4,0.8054,li_4431117643,Software Developer,IEQ Technology,linkedin
BBK1AAB4,Algoritma dan Pemrograman,5,0.8045,li_4363726700,Software Engineer,Oso,linkedin
BBK1AAB4,Algoritma dan Pemrograman,6,0.8043,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin
BBK1AAB4,Algoritma dan Pemrograman,7,0.8039,li_4416579708,"Systems Software Engineer (I, II or III)",Chelan County PUD,linkedin
BBK1AAB4,Algoritma dan Pemrograman,8,0.8037,li_4424958127,Product Designer,Plot,linkedin
BBK1AAB4,Algoritma dan Pemrograman,9,0.8033,li_4427112925,Data Analyst,Beyond Feedback,linkedin
BBK1AAB4,Algoritma dan Pemrograman,10,0.8015,li_4410016324,UI/UX Designer,"Myanmar Zarla Distribution Co.,Ltd",linkedin
BBK1DAB3,Pengantar Sistem Informasi,1,0.7982,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK1DAB3,Pengantar Sistem Informasi,2,0.7981,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK1DAB3,Pengantar Sistem Informasi,3,0.7939,li_4428620717,Systems Engineer,AISIN World Corp. of America,linkedin
BBK1DAB3,Pengantar Sistem Informasi,4,0.7922,li_4409724477,Business Intelligence Analyst,Liebherr USA,linkedin
BBK1DAB3,Pengantar Sistem Informasi,5,0.7914,gd_1010011121137,Researcher (Contract),Civitech,glassdoor
BBK1DAB3,Pengantar Sistem Informasi,6,0.7894,li_4436961499,Data Analyst,Premier Technology Inc.,linkedin
BBK1DAB3,Pengantar Sistem Informasi,7,0.7887,li_4325154188,Software Engineer (Remote),Keye (YC F24),linkedin
BBK1DAB3,Pengantar Sistem Informasi,8,0.7886,li_4422384759,Machine Learning Operations Engineer,Sintela,linkedin
BBK1DAB3,Pengantar Sistem Informasi,9,0.7883,li_4409624638,BI Data Analyst,Motion,linkedin
BBK1DAB3,Pengantar Sistem Informasi,10,0.7881,gd_1010155379526,Computer & Information Systems Specialist - Freelance AI Trainer Project,Ameridial,glassdoor
BBK1EAB3,Sistem Enterprise,1,0.8013,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK1EAB3,Sistem Enterprise,2,0.7984,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin
BBK1EAB3,Sistem Enterprise,3,0.7975,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK1EAB3,Sistem Enterprise,4,0.792,li_4363726700,Software Engineer,Oso,linkedin
BBK1EAB3,Sistem Enterprise,5,0.7918,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin
BBK1EAB3,Sistem Enterprise,6,0.7913,gd_1010181109261,Informaticist 2,CenterWell Senior Primary Care,glassdoor
BBK1EAB3,Sistem Enterprise,7,0.7906,li_4223656536,Software Engineer,ReturnPro,linkedin
BBK1EAB3,Sistem Enterprise,8,0.789,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin
BBK1EAB3,Sistem Enterprise,9,0.7888,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK1EAB3,Sistem Enterprise,10,0.7883,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin
BBK1GAB3,Jaringan Komputer,1,0.7976,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK1GAB3,Jaringan Komputer,2,0.7939,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin
BBK1GAB3,Jaringan Komputer,3,0.7924,li_4363726700,Software Engineer,Oso,linkedin
BBK1GAB3,Jaringan Komputer,4,0.7909,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK1GAB3,Jaringan Komputer,5,0.7898,gd_1010188559101,Admission Specialist PRN,Innovative Network of Knowledge (INK),glassdoor
BBK1GAB3,Jaringan Komputer,6,0.7896,li_4403509120,Software Engineer,KIHOMAC,linkedin
BBK1GAB3,Jaringan Komputer,7,0.7892,li_4327166527,Computer Scientist - Mid,"Bluehawk LLC, Intelligence Services",linkedin
BBK1GAB3,Jaringan Komputer,8,0.7874,li_4416579708,"Systems Software Engineer (I, II or III)",Chelan County PUD,linkedin
BBK1GAB3,Jaringan Komputer,9,0.7869,gd_1010011121137,Researcher (Contract),Civitech,glassdoor
BBK1GAB3,Jaringan Komputer,10,0.7862,gd_1010146211292,Certificate Processor,"Higginbotham Insurance Agency, Inc.",glassdoor
BBK1JAB3,Pemrograman Berorientasi Objek,1,0.822,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK1JAB3,Pemrograman Berorientasi Objek,2,0.8099,li_4411850674,Software Engineer - Backend (Cleared),Swoop Technologies,linkedin
BBK1JAB3,Pemrograman Berorientasi Objek,3,0.8095,li_4431117643,Software Developer,IEQ Technology,linkedin
BBK1JAB3,Pemrograman Berorientasi Objek,4,0.8081,gd_1010155379786,Java Coding Specialist - Freelance AI Trainer Project,Ameridial,glassdoor
BBK1JAB3,Pemrograman Berorientasi Objek,5,0.8074,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK1JAB3,Pemrograman Berorientasi Objek,6,0.8061,li_4434676109,Software Engineer,Thazen,linkedin
BBK1JAB3,Pemrograman Berorientasi Objek,7,0.806,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin
BBK1JAB3,Pemrograman Berorientasi Objek,8,0.8058,li_4427868416,Software Engineer-EN,CAE,linkedin
BBK1JAB3,Pemrograman Berorientasi Objek,9,0.8054,li_4431506499,Software Developer,MarathonSoft LLC,linkedin
BBK1JAB3,Pemrograman Berorientasi Objek,10,0.8051,li_4422780169,Programmer Analyst 23-18,City of Santa Fe Springs,linkedin
BBK1LAB3,Sistem Basis Data,1,0.8111,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK1LAB3,Sistem Basis Data,2,0.8079,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin
BBK1LAB3,Sistem Basis Data,3,0.8058,li_4424958127,Product Designer,Plot,linkedin
BBK1LAB3,Sistem Basis Data,4,0.8042,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin
BBK1LAB3,Sistem Basis Data,5,0.8037,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK1LAB3,Sistem Basis Data,6,0.8037,li_4385647711,"Software Engineer, Developer Experience (AI)",Clay,linkedin
BBK1LAB3,Sistem Basis Data,7,0.8036,li_4286968047,Software Engineer - All Levels,GlossGenius,linkedin
