course_code,course_name,rank,similarity,job_id,job_title,job_company,job_source,cross_encoder_score,rerank
BBK1AAB4,Algoritma dan Pemrograman,2,0.8094,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,5.7598033,1
BBK1AAB4,Algoritma dan Pemrograman,4,0.8054,li_4431117643,Software Developer,IEQ Technology,linkedin,5.1479306,2
BBK1AAB4,Algoritma dan Pemrograman,6,0.8043,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,3.2976215,3
BBK1AAB4,Algoritma dan Pemrograman,10,0.8015,li_4410016324,UI/UX Designer,"Myanmar Zarla Distribution Co.,Ltd",linkedin,3.0193865,4
BBK1AAB4,Algoritma dan Pemrograman,5,0.8045,li_4363726700,Software Engineer,Oso,linkedin,2.9746451,5
BBK1AAB4,Algoritma dan Pemrograman,9,0.8033,li_4427112925,Data Analyst,Beyond Feedback,linkedin,1.9116017,6
BBK1AAB4,Algoritma dan Pemrograman,1,0.8131,li_3815119724,Software,Bay Mortgage Services,linkedin,1.6223786,7
BBK1AAB4,Algoritma dan Pemrograman,7,0.8039,li_4416579708,"Systems Software Engineer (I, II or III)",Chelan County PUD,linkedin,1.6058395,8
BBK1AAB4,Algoritma dan Pemrograman,8,0.8037,li_4424958127,Product Designer,Plot,linkedin,0.8640366,9
BBK1AAB4,Algoritma dan Pemrograman,3,0.8075,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,0.510914,10
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,10,0.8108,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin,9.796808,1
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,6,0.8139,li_4286968047,Software Engineer - All Levels,GlossGenius,linkedin,7.398943,2
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,2,0.8167,li_4286961888,Software Engineer - All Levels,GlossGenius,linkedin,6.8730836,3
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,7,0.8135,li_4388372783,"AI/ML Engineer, Software Development - Noke",Janus International,linkedin,1.3679255,4
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,4,0.8151,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,0.23232251,5
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,5,0.814,li_4432362563,"Software Engineer, Platform [33153]",Stealth Startup,linkedin,-0.09739065,6
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,3,0.8156,li_4395572219,Staff- Software Engineer,Walmart,linkedin,-0.09897611,7
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,1,0.8222,li_3815119724,Software,Bay Mortgage Services,linkedin,-0.5281797,8
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,8,0.8127,li_4385647711,"Software Engineer, Developer Experience (AI)",Clay,linkedin,-0.63745606,9
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,9,0.8122,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-3.5843515,10
BBK3AAB3,Arsitektur Enterprise,10,0.8,gd_1010155381106,Healthcare & Social Assistance Specialist - Freelance AI Trainer Project,Ameridial,glassdoor,5.2033353,1
BBK3AAB3,Arsitektur Enterprise,3,0.8046,li_4372153003,Applied ML Engineer,Kognitos,linkedin,4.617873,2
BBK3AAB3,Arsitektur Enterprise,8,0.8006,li_4318518203,Applied AI Engineer,Zania,linkedin,2.9777715,3
BBK3AAB3,Arsitektur Enterprise,9,0.8002,li_4388372783,"AI/ML Engineer, Software Development - Noke",Janus International,linkedin,2.798485,4
BBK3AAB3,Arsitektur Enterprise,2,0.805,li_4363726700,Software Engineer,Oso,linkedin,2.776192,5
BBK3AAB3,Arsitektur Enterprise,7,0.8009,li_4318503546,Product Designer,"AGI, Inc.",linkedin,2.3267825,6
BBK3AAB3,Arsitektur Enterprise,4,0.8041,li_4395572219,Staff- Software Engineer,Walmart,linkedin,2.235943,7
BBK3AAB3,Arsitektur Enterprise,6,0.8013,gd_1009846201389,AI Researcher,"AGI, Inc.",glassdoor,1.7345185,8
BBK3AAB3,Arsitektur Enterprise,5,0.8035,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,1.5575585,9
BBK3AAB3,Arsitektur Enterprise,1,0.811,li_3815119724,Software,Bay Mortgage Services,linkedin,1.532321,10
BBK3BAB3,Data Warehouse dan Business Intelligence,6,0.8057,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,10.452357,1
BBK3BAB3,Data Warehouse dan Business Intelligence,5,0.8061,li_4385755079,Data Analyst,"Alterman, Inc.",linkedin,6.695556,2
BBK3BAB3,Data Warehouse dan Business Intelligence,10,0.8043,li_4409624638,BI Data Analyst,Motion,linkedin,6.1170373,3
BBK3BAB3,Data Warehouse dan Business Intelligence,7,0.8057,li_4427131470,Software Developer,Nightwing,linkedin,4.7820544,4
BBK3BAB3,Data Warehouse dan Business Intelligence,3,0.8097,li_4436961499,Data Analyst,Premier Technology Inc.,linkedin,4.672833,5
BBK3BAB3,Data Warehouse dan Business Intelligence,2,0.8125,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,3.6563292,6
BBK3BAB3,Data Warehouse dan Business Intelligence,4,0.8075,li_4427112925,Data Analyst,Beyond Feedback,linkedin,2.7708857,7
BBK3BAB3,Data Warehouse dan Business Intelligence,8,0.8056,li_4395572219,Staff- Software Engineer,Walmart,linkedin,2.313115,8
BBK3BAB3,Data Warehouse dan Business Intelligence,1,0.8183,li_3815119724,Software,Bay Mortgage Services,linkedin,1.9382157,9
BBK3BAB3,Data Warehouse dan Business Intelligence,9,0.8045,li_3686416246,Epicor Software Programmer,"Patriot Machine, Inc.",linkedin,1.6796267,10
BBK2HAB3,Integrasi Aplikasi Enterprise,1,0.8043,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin,9.359184,1
BBK2HAB3,Integrasi Aplikasi Enterprise,6,0.7994,li_4304860885,Future Opportunities- Software Engineering,Epirus,linkedin,4.411532,2
BBK2HAB3,Integrasi Aplikasi Enterprise,7,0.7982,li_4395572219,Staff- Software Engineer,Walmart,linkedin,1.3930019,3
BBK2HAB3,Integrasi Aplikasi Enterprise,9,0.797,li_4363726700,Software Engineer,Oso,linkedin,0.5453182,4
BBK2HAB3,Integrasi Aplikasi Enterprise,10,0.7967,li_4371060491,Software Engineer,Heidi,linkedin,-0.22576076,5
BBK2HAB3,Integrasi Aplikasi Enterprise,5,0.8001,li_4416579708,"Systems Software Engineer (I, II or III)",Chelan County PUD,linkedin,-0.40581226,6
BBK2HAB3,Integrasi Aplikasi Enterprise,4,0.8006,li_4385647711,"Software Engineer, Developer Experience (AI)",Clay,linkedin,-0.9760115,7
BBK2HAB3,Integrasi Aplikasi Enterprise,8,0.7974,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,-1.3930259,8
BBK2HAB3,Integrasi Aplikasi Enterprise,2,0.8036,li_3815119724,Software,Bay Mortgage Services,linkedin,-1.8299248,9
BBK2HAB3,Integrasi Aplikasi Enterprise,3,0.8015,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-4.3575983,10
BBK1GAB3,Jaringan Komputer,5,0.7898,gd_1010188559101,Admission Specialist PRN,Innovative Network of Knowledge (INK),glassdoor,6.1212635,1
BBK1GAB3,Jaringan Komputer,7,0.7892,li_4327166527,Computer Scientist - Mid,"Bluehawk LLC, Intelligence Services",linkedin,5.28948,2
BBK1GAB3,Jaringan Komputer,2,0.7939,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,4.654823,3
BBK1GAB3,Jaringan Komputer,3,0.7924,li_4363726700,Software Engineer,Oso,linkedin,3.5353222,4
BBK1GAB3,Jaringan Komputer,6,0.7896,li_4403509120,Software Engineer,KIHOMAC,linkedin,2.6025598,5
BBK1GAB3,Jaringan Komputer,8,0.7874,li_4416579708,"Systems Software Engineer (I, II or III)",Chelan County PUD,linkedin,1.6394398,6
BBK1GAB3,Jaringan Komputer,10,0.7862,gd_1010146211292,Certificate Processor,"Higginbotham Insurance Agency, Inc.",glassdoor,1.234734,7
BBK1GAB3,Jaringan Komputer,9,0.7869,gd_1010011121137,Researcher (Contract),Civitech,glassdoor,1.0685439,8
BBK1GAB3,Jaringan Komputer,1,0.7976,li_3815119724,Software,Bay Mortgage Services,linkedin,0.85799056,9
BBK1GAB3,Jaringan Komputer,4,0.7909,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-0.2408499,10
BBK2IAB3,Keamanan Sistem Informasi,4,0.8,li_4431117643,Software Developer,IEQ Technology,linkedin,4.767258,1
BBK2IAB3,Keamanan Sistem Informasi,2,0.8097,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,3.654521,2
BBK2IAB3,Keamanan Sistem Informasi,7,0.7995,li_4363726700,Software Engineer,Oso,linkedin,3.0071006,3
BBK2IAB3,Keamanan Sistem Informasi,5,0.7999,li_4403509120,Software Engineer,KIHOMAC,linkedin,2.6109369,4
BBK2IAB3,Keamanan Sistem Informasi,1,0.8138,li_3815119724,Software,Bay Mortgage Services,linkedin,1.8769697,5
BBK2IAB3,Keamanan Sistem Informasi,10,0.799,li_4395572219,Staff- Software Engineer,Walmart,linkedin,1.3826888,6
BBK2IAB3,Keamanan Sistem Informasi,3,0.8013,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,1.3484122,7
BBK2IAB3,Keamanan Sistem Informasi,9,0.7992,li_4416579708,"Systems Software Engineer (I, II or III)",Chelan County PUD,linkedin,1.2161616,8
BBK2IAB3,Keamanan Sistem Informasi,6,0.7998,gd_1010011121137,Researcher (Contract),Civitech,glassdoor,1.031424,9
BBK2IAB3,Keamanan Sistem Informasi,8,0.7992,li_4427868416,Software Engineer-EN,CAE,linkedin,0.9325227,10
BBK2JAB3,Manajemen Proyek Sistem Informasi,2,0.813,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,10.238967,1
BBK2JAB3,Manajemen Proyek Sistem Informasi,6,0.8062,li_4419558780,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,2.812865,2
BBK2JAB3,Manajemen Proyek Sistem Informasi,7,0.8062,li_4419575653,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,2.812865,3
BBK2JAB3,Manajemen Proyek Sistem Informasi,8,0.8062,li_4419568698,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,2.812865,4
BBK2JAB3,Manajemen Proyek Sistem Informasi,9,0.8062,li_4419576589,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,2.812865,5
BBK2JAB3,Manajemen Proyek Sistem Informasi,10,0.8062,li_4419576591,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,2.812865,6
BBK2JAB3,Manajemen Proyek Sistem Informasi,1,0.8166,li_3815119724,Software,Bay Mortgage Services,linkedin,0.15813541,7
BBK2JAB3,Manajemen Proyek Sistem Informasi,3,0.8112,li_4427868416,Software Engineer-EN,CAE,linkedin,-0.046643768,8
BBK2JAB3,Manajemen Proyek Sistem Informasi,4,0.8099,li_4395572219,Staff- Software Engineer,Walmart,linkedin,-0.09461133,9
BBK2JAB3,Manajemen Proyek Sistem Informasi,5,0.8081,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-2.0707583,10
BBK1JAB3,Pemrograman Berorientasi Objek,2,0.8099,li_4411850674,Software Engineer - Backend (Cleared),Swoop Technologies,linkedin,0.47812444,1
BBK1JAB3,Pemrograman Berorientasi Objek,3,0.8095,li_4431117643,Software Developer,IEQ Technology,linkedin,0.44323748,2
BBK1JAB3,Pemrograman Berorientasi Objek,6,0.8061,li_4434676109,Software Engineer,Thazen,linkedin,-0.50195074,3
BBK1JAB3,Pemrograman Berorientasi Objek,4,0.8081,gd_1010155379786,Java Coding Specialist - Freelance AI Trainer Project,Ameridial,glassdoor,-0.68910986,4
BBK1JAB3,Pemrograman Berorientasi Objek,10,0.8051,li_4422780169,Programmer Analyst 23-18,City of Santa Fe Springs,linkedin,-1.5726576,5
BBK1JAB3,Pemrograman Berorientasi Objek,7,0.806,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,-1.7788603,6
BBK1JAB3,Pemrograman Berorientasi Objek,9,0.8054,li_4431506499,Software Developer,MarathonSoft LLC,linkedin,-1.8776975,7
BBK1JAB3,Pemrograman Berorientasi Objek,8,0.8058,li_4427868416,Software Engineer-EN,CAE,linkedin,-2.246331,8
BBK1JAB3,Pemrograman Berorientasi Objek,1,0.822,li_3815119724,Software,Bay Mortgage Services,linkedin,-3.415573,9
BBK1JAB3,Pemrograman Berorientasi Objek,5,0.8074,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-5.2994556,10
BBK2LAB3,Penambangan Data,7,0.8052,li_4372153003,Applied ML Engineer,Kognitos,linkedin,3.6622455,1
BBK2LAB3,Penambangan Data,9,0.8046,li_4432488212,Machine Learning Engineer,Harrison Clarke,linkedin,3.581171,2
BBK2LAB3,Penambangan Data,10,0.8037,li_4346417366,Machine Learning Engineer,Happy Elements,linkedin,3.3454168,3
BBK2LAB3,Penambangan Data,4,0.8086,li_4436961499,Data Analyst,Premier Technology Inc.,linkedin,1.7390046,4
BBK2LAB3,Penambangan Data,5,0.8084,li_4388372783,"AI/ML Engineer, Software Development - Noke",Janus International,linkedin,0.37070373,5
BBK2LAB3,Penambangan Data,1,0.8174,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,-0.2895127,6
BBK2LAB3,Penambangan Data,6,0.8078,li_4424958127,Product Designer,Plot,linkedin,-0.4601023,7
BBK2LAB3,Penambangan Data,3,0.8128,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-0.8274021,8
BBK2LAB3,Penambangan Data,8,0.8048,li_4395572219,Staff- Software Engineer,Walmart,linkedin,-1.0649598,9
BBK2LAB3,Penambangan Data,2,0.8141,li_3815119724,Software,Bay Mortgage Services,linkedin,-1.3255837,10
BBK1DAB3,Pengantar Sistem Informasi,1,0.7982,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,3.7048256,1
BBK1DAB3,Pengantar Sistem Informasi,8,0.7886,li_4422384759,Machine Learning Operations Engineer,Sintela,linkedin,3.6229703,2
BBK1DAB3,Pengantar Sistem Informasi,10,0.7881,gd_1010155379526,Computer & Information Systems Specialist - Freelance AI Trainer Project,Ameridial,glassdoor,3.5193076,3
BBK1DAB3,Pengantar Sistem Informasi,3,0.7939,li_4428620717,Systems Engineer,AISIN World Corp. of America,linkedin,3.3528512,4
BBK1DAB3,Pengantar Sistem Informasi,5,0.7914,gd_1010011121137,Researcher (Contract),Civitech,glassdoor,2.4375556,5
BBK1DAB3,Pengantar Sistem Informasi,7,0.7887,li_4325154188,Software Engineer (Remote),Keye (YC F24),linkedin,2.3439538,6
BBK1DAB3,Pengantar Sistem Informasi,6,0.7894,li_4436961499,Data Analyst,Premier Technology Inc.,linkedin,2.1116185,7
BBK1DAB3,Pengantar Sistem Informasi,2,0.7981,li_3815119724,Software,Bay Mortgage Services,linkedin,2.0677006,8
BBK1DAB3,Pengantar Sistem Informasi,9,0.7883,li_4409624638,BI Data Analyst,Motion,linkedin,2.046325,9
BBK1DAB3,Pengantar Sistem Informasi,4,0.7922,li_4409724477,Business Intelligence Analyst,Liebherr USA,linkedin,2.0206478,10
BBK2DAB3,Pengembangan Aplikasi Website,2,0.8134,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin,7.199613,1
BBK2DAB3,Pengembangan Aplikasi Website,4,0.8074,li_4431117643,Software Developer,IEQ Technology,linkedin,3.1632755,2
BBK2DAB3,Pengembangan Aplikasi Website,6,0.8047,li_4348953287,Backend Software Engineer,Twenty,linkedin,2.0878093,3
BBK2DAB3,Pengembangan Aplikasi Website,10,0.8033,li_4434302637,Front-End Developer,Bario Gifts,linkedin,0.7362308,4
BBK2DAB3,Pengembangan Aplikasi Website,3,0.8106,li_4435216514,Back-end Software Development Engineer,FastTek Global,linkedin,0.63746333,5
