cert_title,cert_id,rank,job_id,job_title,job_company,job_source,cross_encoder_score,explanation
AWS Certified Developer - Associate,cert_0,1,li_4432811217,Junior Frontend Developer,MagicSet,linkedin,10.0677,Semantic match score: 10.07 for query 'AWS Certified Developer - Associate'
AWS Certified Developer - Associate,cert_0,2,li_4429667581,Software Engineer,Harvey Nash,linkedin,9.6683,Semantic match score: 9.67 for query 'AWS Certified Developer - Associate'
AWS Certified Developer - Associate,cert_0,3,li_4425676474,Software Developer,Sun Communities & Sun Outdoors,linkedin,9.455,Semantic match score: 9.46 for query 'AWS Certified Developer - Associate'
AWS Certified Developer - Associate,cert_0,4,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,9.2593,Semantic match score: 9.26 for query 'AWS Certified Developer - Associate'
AWS Certified Developer - Associate,cert_0,5,li_4413684880,"Software Development Engineer, AWS",Amazon Web Services (AWS),linkedin,9.1588,Semantic match score: 9.16 for query 'AWS Certified Developer - Associate'
Oracle Certified Professional Java SE 11 Developer,cert_1,1,li_3952279081,Java Developer,Open Systems Technologies,linkedin,10.8251,Semantic match score: 10.83 for query 'Oracle Certified Professional Java SE 11 Developer'
Oracle Certified Professional Java SE 11 Developer,cert_1,2,li_4432811217,Junior Frontend Developer,MagicSet,linkedin,10.722,Semantic match score: 10.72 for query 'Oracle Certified Professional Java SE 11 Developer'
Oracle Certified Professional Java SE 11 Developer,cert_1,3,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,10.6039,Semantic match score: 10.60 for query 'Oracle Certified Professional Java SE 11 Developer'
Oracle Certified Professional Java SE 11 Developer,cert_1,4,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,10.5568,Semantic match score: 10.56 for query 'Oracle Certified Professional Java SE 11 Developer'
Oracle Certified Professional Java SE 11 Developer,cert_1,5,li_4427730735,UI Frontend Developer,Unissant,linkedin,10.5319,Semantic match score: 10.53 for query 'Oracle Certified Professional Java SE 11 Developer'
Microsoft Certified: Azure Developer Associate,cert_2,1,li_4432811217,Junior Frontend Developer,MagicSet,linkedin,9.2416,Semantic match score: 9.24 for query 'Microsoft Certified: Azure Developer Associate'
Microsoft Certified: Azure Developer Associate,cert_2,2,li_4434016802,Back End Developer,Cooler Master USA,linkedin,9.1127,Semantic match score: 9.11 for query 'Microsoft Certified: Azure Developer Associate'
Microsoft Certified: Azure Developer Associate,cert_2,3,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,8.9925,Semantic match score: 8.99 for query 'Microsoft Certified: Azure Developer Associate'
Microsoft Certified: Azure Developer Associate,cert_2,4,li_4433627192,Software Developer,"Vitesse Group, Inc.",linkedin,8.4249,Semantic match score: 8.42 for query 'Microsoft Certified: Azure Developer Associate'
Microsoft Certified: Azure Developer Associate,cert_2,5,li_4431784441,Software Engineer,uShip,linkedin,6.2702,Semantic match score: 6.27 for query 'Microsoft Certified: Azure Developer Associate'
