course_name,rank,job_id,job_title,job_company,job_source,course_job_score_max,explanation
Algoritma dan Pemrograman,1,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-2.2181,Semantic match score: -2.22 for query 'Algoritma dan Pemrograman'
Algoritma dan Pemrograman,2,li_4373708675,Software Engineer,Avid Technology Professionals,linkedin,-2.47,Semantic match score: -2.47 for query 'Algoritma dan Pemrograman'
Algoritma dan Pemrograman,3,li_4433237538,Software Developer,Altec,linkedin,-2.8238,Semantic match score: -2.82 for query 'Algoritma dan Pemrograman'
Algoritma dan Pemrograman,4,li_3815119724,Software,Bay Mortgage Services,linkedin,-2.8872,Semantic match score: -2.89 for query 'Algoritma dan Pemrograman'
Algoritma dan Pemrograman,5,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,-3.3447,Semantic match score: -3.34 for query 'Algoritma dan Pemrograman'
Analisis dan Perancangan Sistem Informasi,1,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,0.4049,Semantic match score: 0.40 for query 'Analisis dan Perancangan Sistem Informasi'
Analisis dan Perancangan Sistem Informasi,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-0.7791,Semantic match score: -0.78 for query 'Analisis dan Perancangan Sistem Informasi'
Analisis dan Perancangan Sistem Informasi,3,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,-1.6679,Semantic match score: -1.67 for query 'Analisis dan Perancangan Sistem Informasi'
Analisis dan Perancangan Sistem Informasi,4,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-2.2021,Semantic match score: -2.20 for query 'Analisis dan Perancangan Sistem Informasi'
Analisis dan Perancangan Sistem Informasi,5,li_3815119724,Software,Bay Mortgage Services,linkedin,-2.2978,Semantic match score: -2.30 for query 'Analisis dan Perancangan Sistem Informasi'
Arsitektur Enterprise,1,li_4405260780,Machine Learning (ML) Engineer,Vectara,linkedin,1.8557,Semantic match score: 1.86 for query 'Arsitektur Enterprise'
Arsitektur Enterprise,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,1.0489,Semantic match score: 1.05 for query 'Arsitektur Enterprise'
Arsitektur Enterprise,3,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,0.6573,Semantic match score: 0.66 for query 'Arsitektur Enterprise'
Arsitektur Enterprise,4,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,0.4154,Semantic match score: 0.42 for query 'Arsitektur Enterprise'
Arsitektur Enterprise,5,li_4346417366,Machine Learning Engineer,Happy Elements,linkedin,-0.11,Semantic match score: -0.11 for query 'Arsitektur Enterprise'
Data Warehouse dan Business Intelligence,1,li_3815119724,Software,Bay Mortgage Services,linkedin,-0.9852,Semantic match score: -0.99 for query 'Data Warehouse dan Business Intelligence'
Data Warehouse dan Business Intelligence,2,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,-1.4075,Semantic match score: -1.41 for query 'Data Warehouse dan Business Intelligence'
Data Warehouse dan Business Intelligence,3,gd_1010181109261,Informaticist 2,CenterWell Senior Primary Care,glassdoor,-1.5572,Semantic match score: -1.56 for query 'Data Warehouse dan Business Intelligence'
Data Warehouse dan Business Intelligence,4,li_4435377657,Software Engineer,Software Engineering Institute | Carnegie Mellon University,linkedin,-1.8897,Semantic match score: -1.89 for query 'Data Warehouse dan Business Intelligence'
Data Warehouse dan Business Intelligence,5,li_4434389490,Software Engineer,Carnegie Mellon University,linkedin,-1.8897,Semantic match score: -1.89 for query 'Data Warehouse dan Business Intelligence'
Integrasi Aplikasi Enterprise,1,li_4411864449,ES Application Developer II,University of Houston,linkedin,5.4812,Semantic match score: 5.48 for query 'Integrasi Aplikasi Enterprise'
Integrasi Aplikasi Enterprise,2,li_4405260780,Machine Learning (ML) Engineer,Vectara,linkedin,2.4128,Semantic match score: 2.41 for query 'Integrasi Aplikasi Enterprise'
Integrasi Aplikasi Enterprise,3,li_4372153003,Applied ML Engineer,Kognitos,linkedin,2.2113,Semantic match score: 2.21 for query 'Integrasi Aplikasi Enterprise'
Integrasi Aplikasi Enterprise,4,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,0.4922,Semantic match score: 0.49 for query 'Integrasi Aplikasi Enterprise'
Integrasi Aplikasi Enterprise,5,li_4436152639,"Enterprise Data & Analytics Analyst, Platform Engineering",First Hawaiian Bank,linkedin,0.1678,Semantic match score: 0.17 for query 'Integrasi Aplikasi Enterprise'
