job_id,final_score,job_title,job_company,job_source,explanation
li_4427730735,6.446,UI Frontend Developer,Unissant,linkedin,KHS: 'Pengembangan Aplikasi Website' (score=1.05) | Cert: 'Oracle Certified Professional Java SE 11 Developer' (score=5.39)
li_4432811217,6.312,Junior Frontend Developer,MagicSet,linkedin,Cert: 'AWS Certified Developer - Associate' (score=6.31)
li_4429667581,6.062,Software Engineer,Harvey Nash,linkedin,Cert: 'AWS Certified Developer - Associate' (score=6.06)
li_4425676474,5.928,Software Developer,Sun Communities & Sun Outdoors,linkedin,Cert: 'AWS Certified Developer - Associate' (score=5.93)
li_4431330775,5.811,Software Developer,Arvin Acme Technologies Inc,linkedin,KHS: 'Analisis dan Perancangan Sistem Informasi' (score=0.31) | KHS: 'Sistem Operasi' (score=1.26) | KHS: 'Data Warehouse dan Business Intelligence' (score=-1.17) | Cert: 'Oracle Certified Professional Java SE 11 Developer' (score=5.41)
li_4413684880,5.743,"Software Development Engineer, AWS",Amazon Web Services (AWS),linkedin,Cert: 'AWS Certified Developer - Associate' (score=5.74)
li_3952279081,5.542,Java Developer,Open Systems Technologies,linkedin,Cert: 'Oracle Certified Professional Java SE 11 Developer' (score=5.54)
li_4433627192,4.583,Software Developer,"Vitesse Group, Inc.",linkedin,Cert: 'Microsoft Certified: Azure Developer Associate' (score=4.58)
li_4411864449,4.522,ES Application Developer II,University of Houston,linkedin,KHS: 'Integrasi Aplikasi Enterprise' (score=4.52)
li_4432248908,4.397,Machine Learning Engineer,KTek Resourcing,linkedin,KHS: 'Algoritma dan Pemrograman' (score=-2.79) | KHS: 'Arsitektur Enterprise' (score=0.35) | KHS: 'Pengembangan Sistem Cerdas' (score=1.40) | Cert: 'Oracle Certified Professional Java SE 11 Developer' (score=5.43)
li_4427706568,3.674,"Web Developer (HTML,CSS) | Remote",Crossing Hurdles,linkedin,KHS: 'Pengembangan Aplikasi Website' (score=3.67)
li_4405260780,3.568,Machine Learning (ML) Engineer,Vectara,linkedin,KHS: 'Integrasi Aplikasi Enterprise' (score=1.99) | KHS: 'Arsitektur Enterprise' (score=1.58)
li_4431784441,3.411,Software Engineer,uShip,linkedin,Cert: 'Microsoft Certified: Azure Developer Associate' (score=3.41)
li_4431711270,2.831,UX Designer,MDAEdge,linkedin,KHS: 'Perancangan Interaksi' (score=2.83)
li_4387561209,2.667,AI Engineer,Avid Technology Professionals,linkedin,KHS: 'Pengembangan Sistem Cerdas' (score=2.67)
