job_id,job_title,feature,shap_value,base_value
li_4427730735,UI Frontend Developer,IPK,0.084,0.0
li_4427730735,UI Frontend Developer,Jumlah Sertifikasi,5.3923,0.0
li_4427730735,UI Frontend Developer,Data Competency Score,0.0,0.0
li_4427730735,UI Frontend Developer,Programming Competency Score,1.0532,0.0
li_4427730735,UI Frontend Developer,Business Competency Score,0.0,0.0
li_4427730735,UI Frontend Developer,Security Competency Score,0.0,0.0
li_4427730735,UI Frontend Developer,Infra Competency Score,0.0,0.0
li_4432811217,Junior Frontend Developer,IPK,0.0,0.0
li_4432811217,Junior Frontend Developer,Jumlah Sertifikasi,6.3124,0.0
li_4432811217,Junior Frontend Developer,Data Competency Score,0.0,0.0
li_4432811217,Junior Frontend Developer,Programming Competency Score,0.0,0.0
li_4432811217,Junior Frontend Developer,Business Competency Score,0.0,0.0
li_4432811217,Junior Frontend Developer,Security Competency Score,0.0,0.0
li_4432811217,Junior Frontend Developer,Infra Competency Score,0.0,0.0
li_4429667581,Software Engineer,IPK,0.0,0.0
li_4429667581,Software Engineer,Jumlah Sertifikasi,6.062,0.0
li_4429667581,Software Engineer,Data Competency Score,0.0,0.0
li_4429667581,Software Engineer,Programming Competency Score,0.0,0.0
li_4429667581,Software Engineer,Business Competency Score,0.0,0.0
li_4429667581,Software Engineer,Security Competency Score,0.0,0.0
li_4429667581,Software Engineer,Infra Competency Score,0.0,0.0
li_4425676474,Software Developer,IPK,0.0,0.0
li_4425676474,Software Developer,Jumlah Sertifikasi,5.9283,0.0
li_4425676474,Software Developer,Data Competency Score,0.0,0.0
li_4425676474,Software Developer,Programming Competency Score,0.0,0.0
li_4425676474,Software Developer,Business Competency Score,0.0,0.0
li_4425676474,Software Developer,Security Competency Score,0.0,0.0
li_4425676474,Software Developer,Infra Competency Score,0.0,0.0
li_4431330775,Software Developer,IPK,0.0323,0.0
li_4431330775,Software Developer,Jumlah Sertifikasi,5.4051,0.0
li_4431330775,Software Developer,Data Competency Score,-1.1682,0.0
li_4431330775,Software Developer,Programming Competency Score,0.0,0.0
li_4431330775,Software Developer,Business Competency Score,0.3087,0.0
li_4431330775,Software Developer,Security Competency Score,0.0,0.0
li_4431330775,Software Developer,Infra Competency Score,1.2649,0.0
li_4413684880,"Software Development Engineer, AWS",IPK,0.0,0.0
li_4413684880,"Software Development Engineer, AWS",Jumlah Sertifikasi,5.7426,0.0
li_4413684880,"Software Development Engineer, AWS",Data Competency Score,0.0,0.0
li_4413684880,"Software Development Engineer, AWS",Programming Competency Score,0.0,0.0
li_4413684880,"Software Development Engineer, AWS",Business Competency Score,0.0,0.0
li_4413684880,"Software Development Engineer, AWS",Security Competency Score,0.0,0.0
li_4413684880,"Software Development Engineer, AWS",Infra Competency Score,0.0,0.0
li_3952279081,Java Developer,IPK,0.0,0.0
li_3952279081,Java Developer,Jumlah Sertifikasi,5.5425,0.0
li_3952279081,Java Developer,Data Competency Score,0.0,0.0
