job_id,job_title,feature,shap_value,base_value
li_4427730735,UI Frontend Developer,MK: Pengembangan Aplikasi Website,1.0532,0.0
li_4427730735,UI Frontend Developer,Sertifikat: Oracle Certified Professional Java SE 11 Developer,5.3923,0.0
li_4432811217,Junior Frontend Developer,Sertifikat: AWS Certified Developer - Associate,6.3124,0.0
li_4429667581,Software Engineer,Sertifikat: AWS Certified Developer - Associate,6.062,0.0
li_4425676474,Software Developer,Sertifikat: AWS Certified Developer - Associate,5.9283,0.0
li_4431330775,Software Developer,MK: Analisis dan Perancangan Sistem Informasi,0.3087,0.0
li_4431330775,Software Developer,MK: Sistem Operasi,1.2649,0.0
li_4431330775,Software Developer,MK: Data Warehouse dan Business Intelligence,-1.1682,0.0
li_4431330775,Software Developer,Sertifikat: Oracle Certified Professional Java SE 11 Developer,5.4051,0.0
li_4413684880,"Software Development Engineer, AWS",Sertifikat: AWS Certified Developer - Associate,5.7426,0.0
li_3952279081,Java Developer,Sertifikat: Oracle Certified Professional Java SE 11 Developer,5.5425,0.0
li_4433627192,Software Developer,Sertifikat: Microsoft Certified: Azure Developer Associate,4.5831,0.0
li_4411864449,ES Application Developer II,MK: Integrasi Aplikasi Enterprise,4.522,0.0
li_4432248908,Machine Learning Engineer,MK: Algoritma dan Pemrograman,-2.7873,0.0
li_4432248908,Machine Learning Engineer,MK: Arsitektur Enterprise,0.3531,0.0
li_4432248908,Machine Learning Engineer,MK: Pengembangan Sistem Cerdas,1.4021,0.0
li_4432248908,Machine Learning Engineer,Sertifikat: Oracle Certified Professional Java SE 11 Developer,5.4292,0.0
li_4427706568,"Web Developer (HTML,CSS) | Remote",MK: Pengembangan Aplikasi Website,3.6737,0.0
li_4405260780,Machine Learning (ML) Engineer,MK: Integrasi Aplikasi Enterprise,1.9906,0.0
li_4405260780,Machine Learning (ML) Engineer,MK: Arsitektur Enterprise,1.5773,0.0
li_4431784441,Software Engineer,Sertifikat: Microsoft Certified: Azure Developer Associate,3.411,0.0
li_4431711270,UX Designer,MK: Perancangan Interaksi,2.831,0.0
li_4387561209,AI Engineer,MK: Pengembangan Sistem Cerdas,2.6669,0.0
