course_name,rank,job_id,job_title,tfidf_similarity
Pemodelan Proses Bisnis,1,li_4398066516,AI/ML Engineer,0.049
Pemodelan Proses Bisnis,2,li_4422654941,"Machine Learning Engineer, Specialist",0.0232
Pemodelan Proses Bisnis,3,li_4341002791,Machine Learning Engineer,0.0185
Pemodelan Proses Bisnis,4,li_4432653722,Machine Learning Engineer,0.0179
Pemodelan Proses Bisnis,5,li_3625987732,Fullstack Engineer,0.017
Pemodelan Proses Bisnis,6,li_4429123217,AI/ML Engineer,0.0163
Pemodelan Proses Bisnis,7,li_4418977492,AI Engineer,0.0144
Pemodelan Proses Bisnis,8,li_4412405389,Data Scientist,0.0144
Pemodelan Proses Bisnis,9,gd_1010180874339,AI Specialist,0.0143
Pemodelan Proses Bisnis,10,li_4435721155,Machine Learning Engineer,0.0142
Algoritma dan Pemrograman,1,li_4435815437,Data Analyst (Data Management),0.0485
Algoritma dan Pemrograman,2,li_4435432493,Data Warehouse Engineer,0.0473
Algoritma dan Pemrograman,3,li_4398066516,AI/ML Engineer,0.0469
Algoritma dan Pemrograman,4,li_4407471578,Data Analyst,0.0432
Algoritma dan Pemrograman,5,li_4406455555,Software Engineer – BA4,0.039
Algoritma dan Pemrograman,6,li_4434676109,Software Engineer,0.037
Algoritma dan Pemrograman,7,li_4427749735,"Analyst, Enterprise Data",0.0365
Algoritma dan Pemrograman,8,li_4426318677,Software Developer with Security Clearance,0.0359
Algoritma dan Pemrograman,9,li_4414500095,Business Intelligence Analyst,0.0349
Algoritma dan Pemrograman,10,li_4428925520,Data Analyst,0.0337
Pengantar Sistem Informasi,1,li_4398066516,AI/ML Engineer,0.0195
Pengantar Sistem Informasi,2,li_4432634871,Adv-UI/UX Designer,0.0
Pengantar Sistem Informasi,3,li_4428062436,Full Stack Engineer (ML),0.0
Pengantar Sistem Informasi,4,li_4428828247,Machine Learning Engineer,0.0
Pengantar Sistem Informasi,5,li_4414066946,Software Engineer,0.0
Pengantar Sistem Informasi,6,li_4381385653,Full-Stack Engineer,0.0
Pengantar Sistem Informasi,7,li_4433381258,Software Engineer,0.0
Pengantar Sistem Informasi,8,li_4423511919,Full Stack Engineer,0.0
Pengantar Sistem Informasi,9,li_4407534601,Software Engineer (Open Level),0.0
Pengantar Sistem Informasi,10,li_4394477871,Software Application Developer,0.0
Sistem Enterprise,1,li_4435373470,Product Data Operations Analyst,0.0906
Sistem Enterprise,2,li_4407175659,Applied AI Engineer,0.0712
Sistem Enterprise,3,li_4375338574,NetSuite Developer,0.0698
Sistem Enterprise,4,li_4414935057,Software Developer,0.0637
Sistem Enterprise,5,li_4434190363,Junior Software Engineer,0.0633
Sistem Enterprise,6,li_4431882519,Software Developer,0.0522
Sistem Enterprise,7,li_3686416246,Epicor Software Programmer,0.0491
Sistem Enterprise,8,li_4398066516,AI/ML Engineer,0.0439
Sistem Enterprise,9,li_4429997164,Sales Data Analyst,0.043
Sistem Enterprise,10,li_4420973678,Open-Source Machine Learning Engineer - US Remote,0.0408
Jaringan Komputer,1,li_4398066516,AI/ML Engineer,0.0243
Jaringan Komputer,2,li_4432634871,Adv-UI/UX Designer,0.0
Jaringan Komputer,3,li_4428062436,Full Stack Engineer (ML),0.0
Jaringan Komputer,4,li_4428828247,Machine Learning Engineer,0.0
Jaringan Komputer,5,li_4414066946,Software Engineer,0.0
Jaringan Komputer,6,li_4381385653,Full-Stack Engineer,0.0
