job_id,final_score,job_title,job_company,job_source,explanation
li_4411864449,4.522,ES Application Developer II,University of Houston,linkedin,KHS: 'Integrasi Aplikasi Enterprise' (score=4.52)
li_4427706568,3.674,"Web Developer (HTML,CSS) | Remote",Crossing Hurdles,linkedin,KHS: 'Pengembangan Aplikasi Website' (score=3.67)
li_4405260780,3.568,Machine Learning (ML) Engineer,Vectara,linkedin,KHS: 'Integrasi Aplikasi Enterprise' (score=1.99) | KHS: 'Arsitektur Enterprise' (score=1.58)
gd_1010011121137,3.144,Researcher (Contract),Civitech,glassdoor,Cert: 'Cisco CyberOps Associate' (score=3.14)
li_4431711270,2.831,UX Designer,MDAEdge,linkedin,KHS: 'Perancangan Interaksi' (score=2.83)
li_4387561209,2.667,AI Engineer,Avid Technology Professionals,linkedin,KHS: 'Pengembangan Sistem Cerdas' (score=2.67)
li_4414938843,2.275,Web Apps Developer,Halvik,linkedin,KHS: 'Pengembangan Aplikasi Website' (score=2.28)
li_4426358084,2.121,Full Stack Developer,Levin Furniture & Mattress,linkedin,KHS: 'Pengembangan Aplikasi Website' (score=2.12)
gd_1010178865002,2.044,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,KHS: 'Jaringan Komputer' (score=-0.88) | KHS: 'Manajemen Proyek Sistem Informasi' (score=-1.04) | Cert: 'Cisco CyberOps Associate' (score=3.97)
li_4423127415,1.835,Machine Learning Engineer,Oho Group,linkedin,KHS: 'Pengembangan Sistem Cerdas' (score=1.84)
li_4372153003,1.824,Applied ML Engineer,Kognitos,linkedin,KHS: 'Integrasi Aplikasi Enterprise' (score=1.82)
li_4429459188,1.782,Data Scientist - NLP,Analytica,linkedin,KHS: 'Penambangan Data' (score=1.78)
li_4432488212,1.74,Machine Learning Engineer,Harrison Clarke,linkedin,KHS: 'Pengembangan Sistem Cerdas' (score=1.74)
gd_1010186853881,1.727,"Agriculture, Forestry, Wildlife Expert Contributors for AI","Snorkel AI, Inc.",glassdoor,Cert: 'Certified Ethical Hacker (Training)' (score=1.73)
gd_1007506508998,1.593,Science Policy Postdocs,European Business Reliance Centre,glassdoor,KHS: 'Pengembangan Sistem Cerdas' (score=1.59)
