job_id,final_score,job_title,job_company,job_source,explanation
li_4431725005,6.981,UX Designer,MDAEdge,linkedin,KHS: 'Perancangan Interaksi' (score=1.52) | Cert: 'Google UX Design' (score=5.46)
li_4433193265,6.666,UX Designer,Scale.jobs,linkedin,KHS: 'Perancangan Interaksi' (score=1.30) | Cert: 'Google UX Design' (score=5.36)
li_4324763342,5.023,UX/UI Designer,"Steampunk, Inc.",linkedin,Cert: 'Google UX Design' (score=5.02)
li_4290752432,4.782,UI/UX Designer,"Steampunk, Inc.",linkedin,Cert: 'Google UX Design' (score=4.78)
li_4427706568,4.663,"Web Developer (HTML,CSS) | Remote",Crossing Hurdles,linkedin,KHS: 'Pengembangan Aplikasi Website' (score=4.66)
li_4411864449,4.659,ES Application Developer II,University of Houston,linkedin,KHS: 'Integrasi Aplikasi Enterprise' (score=4.66)
li_4433431526,4.537,Model UX Designer,Google,linkedin,Cert: 'Google UX Design' (score=4.54)
li_4405260780,3.566,Machine Learning (ML) Engineer,Vectara,linkedin,KHS: 'Integrasi Aplikasi Enterprise' (score=2.05) | KHS: 'Arsitektur Enterprise' (score=1.52)
li_4414938843,2.888,Web Apps Developer,Halvik,linkedin,KHS: 'Pengembangan Aplikasi Website' (score=2.89)
li_4431711270,2.73,UX Designer,MDAEdge,linkedin,KHS: 'Perancangan Interaksi' (score=2.73)
li_4426358084,2.692,Full Stack Developer,Levin Furniture & Mattress,linkedin,KHS: 'Pengembangan Aplikasi Website' (score=2.69)
li_4387561209,2.627,AI Engineer,Avid Technology Professionals,linkedin,KHS: 'Pengembangan Sistem Cerdas' (score=2.63)
li_4372153003,1.88,Applied ML Engineer,Kognitos,linkedin,KHS: 'Integrasi Aplikasi Enterprise' (score=1.88)
li_4401451723,1.877,Experience Designer,EGO,linkedin,KHS: 'Perancangan Interaksi' (score=1.08) | Cert: 'Design Thinking Professional' (score=0.80)
li_4429459188,1.865,Data Scientist - NLP,Analytica,linkedin,KHS: 'Penambangan Data' (score=1.87)
