course_name,job_id,job_title,job_company,job_source,course_job_score_max,n_subclo_matched
Algoritma dan Pemrograman,gd_1009846201389,AI Researcher,"AGI, Inc.",glassdoor,-4.5308,6
Algoritma dan Pemrograman,gd_1010070797503,AI Resident - Learning From Videos (LFV),Toyota Research Institute,glassdoor,-1.8025,3
Algoritma dan Pemrograman,gd_1010109391172,AI Tutor - Tagalog,x.ai,glassdoor,-7.1395,1
Algoritma dan Pemrograman,gd_1010178684905,Machine Learning Algorithm Consultant,PURE DIAGNOSTICS LLC,glassdoor,-2.0683,1
Algoritma dan Pemrograman,gd_1010181109261,Informaticist 2,CenterWell Senior Primary Care,glassdoor,-3.6004,1
Algoritma dan Pemrograman,li_3815119724,Software,Bay Mortgage Services,linkedin,0.1877,2
Algoritma dan Pemrograman,li_3907138810,Full-stack Engineer,Speak,linkedin,-5.0152,2
Algoritma dan Pemrograman,li_4318503546,Product Designer,"AGI, Inc.",linkedin,-4.5942,1
Algoritma dan Pemrograman,li_4327166527,Computer Scientist - Mid,"Bluehawk LLC, Intelligence Services",linkedin,-3.9883,1
Algoritma dan Pemrograman,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin,-1.9047,2
Algoritma dan Pemrograman,li_4382545707,Backend Engineer,Made Card,linkedin,-3.171,1
Algoritma dan Pemrograman,li_4394312789,Applied AI Engineer,Luminai,linkedin,-4.1354,1
Algoritma dan Pemrograman,li_4403509120,Software Engineer,KIHOMAC,linkedin,-5.5571,1
Algoritma dan Pemrograman,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-5.7772,1
Algoritma dan Pemrograman,li_4411637470,"Software Engineer, Trust",Notion,linkedin,-4.6097,1
Algoritma dan Pemrograman,li_4411650169,"Software Engineer, Trust",Notion,linkedin,-4.6097,1
Algoritma dan Pemrograman,li_4415952925,Computer Programmer (On-Site),CSSI,linkedin,-3.7778,3
Algoritma dan Pemrograman,li_4416410580,"Backend Engineer, Agents",Hebbia,linkedin,-5.4635,1
Algoritma dan Pemrograman,li_4418681963,Product Designer,SimpliGov,linkedin,-2.8938,5
Algoritma dan Pemrograman,li_4419558780,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.4836,4
Algoritma dan Pemrograman,li_4419568698,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.6231,3
Algoritma dan Pemrograman,li_4419575653,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.6231,4
Algoritma dan Pemrograman,li_4419576589,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.6231,3
Algoritma dan Pemrograman,li_4419576591,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-3.4836,6
Algoritma dan Pemrograman,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-2.8773,2
Algoritma dan Pemrograman,li_4423961732,Software Engineer,Applied Intuition,linkedin,-2.1165,3
Algoritma dan Pemrograman,li_4423971143,Software Engineer,Applied Intuition,linkedin,-2.1165,3
Algoritma dan Pemrograman,li_4424279487,Algorithm Engineer,BLACKHILL POWER SYSTEM LLC,linkedin,-0.805,1
Algoritma dan Pemrograman,li_4424958127,Product Designer,Plot,linkedin,-4.7984,2
Algoritma dan Pemrograman,li_4426669408,Software Developer,Zekiah Technologies,linkedin,-2.1888,2
Algoritma dan Pemrograman,li_4426990013,Algorithm Engineer,Origin AI,linkedin,-2.3949,3
Algoritma dan Pemrograman,li_4427112925,Data Analyst,Beyond Feedback,linkedin,-3.8717,1
Algoritma dan Pemrograman,li_4427645315,"IT Data Analyst | SQL, Power BI & Business Intelligence","Hillyard, Inc.",linkedin,-2.0861,1
Algoritma dan Pemrograman,li_4428972054,User Experience Analyst,Auto-Owners Insurance,linkedin,-2.6197,1
Algoritma dan Pemrograman,li_4429569313,Full Stack Software Engineer,Treeswift,linkedin,-4.9151,1
Algoritma dan Pemrograman,li_4429955515,Product Designer,Conduct,linkedin,-3.5043,1
Algoritma dan Pemrograman,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,-2.311,1
Algoritma dan Pemrograman,li_4431506499,Software Developer,MarathonSoft LLC,linkedin,-2.7364,1
Algoritma dan Pemrograman,li_4434016802,Back End Developer,Cooler Master USA,linkedin,-6.6188,2
Algoritma dan Pemrograman,li_4434073696,Software Engineer,C1,linkedin,-5.0616,1
Algoritma dan Pemrograman,li_4434088291,Software Engineer,C1,linkedin,-5.0616,1
Algoritma dan Pemrograman,li_4434220495,Software Developer,Brilliant Infotech Inc.,linkedin,-4.2427,1
Algoritma dan Pemrograman,li_4435252523,Data Analyst,ShrinQ Consulting Group Inc,linkedin,-1.0599,1
Algoritma dan Pemrograman,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-1.7198,1
Analisis dan Perancangan Sistem Informasi,gd_1009846201389,AI Researcher,"AGI, Inc.",glassdoor,-4.9397,2
Analisis dan Perancangan Sistem Informasi,gd_1010070797503,AI Resident - Learning From Videos (LFV),Toyota Research Institute,glassdoor,-2.6602,2
Analisis dan Perancangan Sistem Informasi,gd_1010085437885,Student Researcher (Vision Foundation Model - Seed) - 2027 Start (BS/MS),"Beijing Bytedance Technology Co., Ltd",glassdoor,-2.1084,3
Analisis dan Perancangan Sistem Informasi,gd_1010138700401,Seasonal Customer Support Representative,Great Minds PBC,glassdoor,-4.1278,1
Analisis dan Perancangan Sistem Informasi,gd_1010147189647,AI Math Content Creator,Texas Sports Academy,glassdoor,-1.2004,1
Analisis dan Perancangan Sistem Informasi,gd_1010155381116,Manufacturing Specialist - Freelance AI Trainer Project,Ameridial,glassdoor,-4.129,1
Analisis dan Perancangan Sistem Informasi,gd_1010160676303,Math Tutor,Lemonae,glassdoor,-3.2447,1
Analisis dan Perancangan Sistem Informasi,gd_1010162931103,Graduate Student Assistant - Substance and Addiction Prevention - Remote,"University Enterprises, Inc.",glassdoor,-3.4608,2
Analisis dan Perancangan Sistem Informasi,gd_1010179149389,Student Worker 3,UCLA Health System,glassdoor,-3.1962,1
Analisis dan Perancangan Sistem Informasi,gd_1010184212006,"SME Grader, AI and Software Engineering (Contract Position)",Pedago LLC,glassdoor,-2.7516,3
Analisis dan Perancangan Sistem Informasi,gd_1010186624181,Shift Lead,Kooth PLC,glassdoor,-5.7571,1
Analisis dan Perancangan Sistem Informasi,li_3815119724,Software,Bay Mortgage Services,linkedin,-1.4596,5
Analisis dan Perancangan Sistem Informasi,li_4323760824,"Software Engineer, Backend",Clay,linkedin,-5.7807,1
Analisis dan Perancangan Sistem Informasi,li_4324030480,"Software Engineer, Full Stack",Clay,linkedin,-5.7962,1
Analisis dan Perancangan Sistem Informasi,li_4338267967,"Software Engineer, Backend",Clay,linkedin,-4.5899,4
Analisis dan Perancangan Sistem Informasi,li_4339359236,"Software Engineer, Backend",Clay,linkedin,-5.1482,3
Analisis dan Perancangan Sistem Informasi,li_4363726700,Software Engineer,Oso,linkedin,-5.1193,1
Analisis dan Perancangan Sistem Informasi,li_4375868798,Data Analyst,Clay,linkedin,-3.6417,1
Analisis dan Perancangan Sistem Informasi,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin,-4.3543,1
Analisis dan Perancangan Sistem Informasi,li_4380306932,Product Designer,Luminai,linkedin,-4.9284,1
Analisis dan Perancangan Sistem Informasi,li_4385647711,"Software Engineer, Developer Experience (AI)",Clay,linkedin,-4.6574,2
Analisis dan Perancangan Sistem Informasi,li_4394940895,Product Designer,Luminai,linkedin,-4.9284,1
Analisis dan Perancangan Sistem Informasi,li_4405260780,Machine Learning (ML) Engineer,Vectara,linkedin,-2.292,1
Analisis dan Perancangan Sistem Informasi,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-4.8613,1
Analisis dan Perancangan Sistem Informasi,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-1.8517,1
Analisis dan Perancangan Sistem Informasi,li_4430289828,Software Engineer II,Arcfield,linkedin,-4.0722,1
Analisis dan Perancangan Sistem Informasi,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,-1.6537,1
Analisis dan Perancangan Sistem Informasi,li_4431796477,Full Stack Developer,GliaCell Technologies,linkedin,-4.332,1
Arsitektur Enterprise,gd_1009846201389,AI Researcher,"AGI, Inc.",glassdoor,-2.8559,2
Arsitektur Enterprise,li_3815119724,Software,Bay Mortgage Services,linkedin,-0.6779,5
Arsitektur Enterprise,li_4318518203,Applied AI Engineer,Zania,linkedin,-2.6205,1
Arsitektur Enterprise,li_4325154188,Software Engineer (Remote),Keye (YC F24),linkedin,-3.6432,3
Arsitektur Enterprise,li_4363726700,Software Engineer,Oso,linkedin,-2.5995,2
Arsitektur Enterprise,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin,-2.4282,2
Arsitektur Enterprise,li_4405158984,Dаtа Sсіеntіѕt (Remote),Progressive Leasing,linkedin,-4.0781,1
Arsitektur Enterprise,li_4405260780,Machine Learning (ML) Engineer,Vectara,linkedin,-0.2201,5
Arsitektur Enterprise,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-4.8871,1
Arsitektur Enterprise,li_4411775754,Analytics Engineer,Koch,linkedin,-1.4534,1
Arsitektur Enterprise,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,-3.2644,3
Arsitektur Enterprise,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,1.2972,1
Arsitektur Enterprise,li_4415704910,Full-Stack Software Engineer,GovWell,linkedin,-4.1459,1
Arsitektur Enterprise,li_4417234418,Software Engineer,"Koch Ag & Energy Solutions, LLC",linkedin,0.7682,1
Arsitektur Enterprise,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,1.2972,1
Arsitektur Enterprise,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-2.2384,1
Arsitektur Enterprise,li_4427730735,UI Frontend Developer,Unissant,linkedin,-5.2041,1
Arsitektur Enterprise,li_4427749735,"Analyst, Enterprise Data",McLeod Software,linkedin,1.7297,1
Arsitektur Enterprise,li_4428057087,Software Engineer | API,DeepL,linkedin,-3.3649,1
Arsitektur Enterprise,li_4428474361,Product Designer,Quantifind,linkedin,-2.2582,1
Arsitektur Enterprise,li_4431574304,"(USA) Senior, Software Engineer",Walmart,linkedin,-4.2696,1
Arsitektur Enterprise,li_4432900614,Software Engineer,Millennium Software Inc,linkedin,-4.9346,2
Arsitektur Enterprise,li_4434016802,Back End Developer,Cooler Master USA,linkedin,-4.3101,1
Arsitektur Enterprise,li_4436152639,"Enterprise Data & Analytics Analyst, Platform Engineering",First Hawaiian Bank,linkedin,-0.465,1
Data Warehouse dan Business Intelligence,gd_1009846201389,AI Researcher,"AGI, Inc.",glassdoor,-2.8559,1
Data Warehouse dan Business Intelligence,gd_1010181109261,Informaticist 2,CenterWell Senior Primary Care,glassdoor,-3.6004,1
Data Warehouse dan Business Intelligence,li_3815119724,Software,Bay Mortgage Services,linkedin,0.1877,4
Data Warehouse dan Business Intelligence,li_4327166527,Computer Scientist - Mid,"Bluehawk LLC, Intelligence Services",linkedin,-3.9883,1
Data Warehouse dan Business Intelligence,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin,-2.4282,1
Data Warehouse dan Business Intelligence,li_4404995783,"Data Scientist, New Grad",SentiLink,linkedin,-1.8585,1
Data Warehouse dan Business Intelligence,li_4405260780,Machine Learning (ML) Engineer,Vectara,linkedin,-1.5286,1
Data Warehouse dan Business Intelligence,li_4409712930,Data Analyst,WENCOR,linkedin,-2.3618,1
Data Warehouse dan Business Intelligence,li_4410777669,Data Analyst,HEICO,linkedin,-2.3618,1
Data Warehouse dan Business Intelligence,li_4415952925,Computer Programmer (On-Site),CSSI,linkedin,-6.5963,1
Data Warehouse dan Business Intelligence,li_4426669408,Software Developer,Zekiah Technologies,linkedin,-2.1888,3
Data Warehouse dan Business Intelligence,li_4431128682,UI Designer,Collate,linkedin,-5.012,1
Data Warehouse dan Business Intelligence,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,-2.311,1
Data Warehouse dan Business Intelligence,li_4431449969,Data Analyst,Equifax,linkedin,-2.3874,1
Data Warehouse dan Business Intelligence,li_4431506499,Software Developer,MarathonSoft LLC,linkedin,-2.7364,1
Data Warehouse dan Business Intelligence,li_4431574304,"(USA) Senior, Software Engineer",Walmart,linkedin,-4.2696,1
Data Warehouse dan Business Intelligence,li_4434016802,Back End Developer,Cooler Master USA,linkedin,-6.6188,1
Data Warehouse dan Business Intelligence,li_4434220495,Software Developer,Brilliant Infotech Inc.,linkedin,-4.2427,1
Data Warehouse dan Business Intelligence,li_4435252523,Data Analyst,ShrinQ Consulting Group Inc,linkedin,-5.678,1
Data Warehouse dan Business Intelligence,li_4435439591,Data Analyst,DBD International,linkedin,-4.7779,1
Integrasi Aplikasi Enterprise,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,-3.2921,1
