job_id,final_score,job_title,job_company,job_source,explanation
li_4417234418,5.127,Software Engineer,"Koch Ag & Energy Solutions, LLC",linkedin,"'Pemodelan Proses Bisnis' (nilai_bobot=0.82, match=1.00) -> skor sub-CLO terbaik=2.50 | 'Integrasi Aplikasi Enterprise' (nilai_bobot=0.85, match=1.00) -> skor sub-CLO terbaik=2.86 | 'Arsitektur Enterprise' (nilai_bobot=0.83, match=1.00) -> skor sub-CLO terbaik=0.77"
li_4429586730,2.204,Web Application Software Developer,"DESE Research, Inc.",linkedin,"'Pengembangan Aplikasi Website' (nilai_bobot=0.77, match=1.00) -> skor sub-CLO terbaik=2.84"
li_4424741876,1.73,Data Analyst,Yulista Holding LLC,linkedin,"'Pemodelan Proses Bisnis' (nilai_bobot=0.82, match=1.00) -> skor sub-CLO terbaik=2.70 | 'Sistem Basis Data' (nilai_bobot=0.81, match=1.00) -> skor sub-CLO terbaik=-2.91 | 'Sistem Informasi Akuntansi' (nilai_bobot=0.82, match=1.00) -> skor sub-CLO terbaik=2.27"
li_4430717045,1.61,Software Engineer,Winaxis LLC,linkedin,"'Pemrograman Berorientasi Objek' (nilai_bobot=0.72, match=1.00) -> skor sub-CLO terbaik=2.24"
li_4323760450,1.249,"Product Designer, Design, Dev, & AI Tools",Figma,linkedin,"'Perancangan Interaksi' (nilai_bobot=0.84, match=1.00) -> skor sub-CLO terbaik=1.49"
li_4413040880,0.896,"Web Developer, Lion Holdings",Valuetainment,linkedin,"'Pengembangan Aplikasi Website' (nilai_bobot=0.77, match=1.00) -> skor sub-CLO terbaik=1.16"
li_4431178572,0.849,Data Systems Specialist,Qnity,linkedin,"'Sistem Basis Data' (nilai_bobot=0.81, match=1.00) -> skor sub-CLO terbaik=1.04"
li_4402988667,0.817,Interaction Designer/Visual Designer,MillenniumSoft Inc,linkedin,"'Perancangan Interaksi' (nilai_bobot=0.84, match=1.00) -> skor sub-CLO terbaik=0.97"
li_4431711270,0.595,UX Designer,MDAEdge,linkedin,"'Perancangan Interaksi' (nilai_bobot=0.84, match=1.00) -> skor sub-CLO terbaik=0.71"
li_4395972720,0.528,"Software Engineer, Cross Platform",ByteDance,linkedin,"'Pengembangan Aplikasi Website' (nilai_bobot=0.77, match=1.00) -> skor sub-CLO terbaik=0.68"
li_4411864449,0.45,ES Application Developer II,University of Houston,linkedin,"'Integrasi Aplikasi Enterprise' (nilai_bobot=0.85, match=1.00) -> skor sub-CLO terbaik=0.53"
li_4427706568,0.422,"Web Developer (HTML,CSS) | Remote",Crossing Hurdles,linkedin,"'Pengembangan Aplikasi Website' (nilai_bobot=0.77, match=1.00) -> skor sub-CLO terbaik=0.54"
li_4409624638,0.278,BI Data Analyst,Motion,linkedin,"'Penambangan Data' (nilai_bobot=0.76, match=1.00) -> skor sub-CLO terbaik=0.37"
li_4427749735,0.137,"Analyst, Enterprise Data",McLeod Software,linkedin,"'Sistem Enterprise' (nilai_bobot=0.57, match=1.00) -> skor sub-CLO terbaik=-2.27 | 'Arsitektur Enterprise' (nilai_bobot=0.83, match=1.00) -> skor sub-CLO terbaik=1.73"
li_4414938843,-0.205,Web Apps Developer,Halvik,linkedin,"'Pengembangan Aplikasi Website' (nilai_bobot=0.77, match=1.00) -> skor sub-CLO terbaik=-0.26"
