cert_title,cert_id,rank,job_id,job_title,job_company,job_source,cross_encoder_score
Google UX Design,cert_0,1,li_4431725005,UX Designer,MDAEdge,linkedin,7.2937
Google UX Design,cert_0,2,li_4433193265,UX Designer,Scale.jobs,linkedin,7.1604
Google UX Design,cert_0,3,li_4324763342,UX/UI Designer,"Steampunk, Inc.",linkedin,6.7066
Google UX Design,cert_0,4,li_4290752432,UI/UX Designer,"Steampunk, Inc.",linkedin,6.385
Google UX Design,cert_0,5,li_4433431526,Model UX Designer,Google,linkedin,6.0571
Design Thinking Professional,cert_1,1,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,5.266
Design Thinking Professional,cert_1,2,li_4401451723,Experience Designer,EGO,linkedin,3.5501
Design Thinking Professional,cert_1,3,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,3.5356
Design Thinking Professional,cert_1,4,li_4394270475,Product Designer,Remi,linkedin,3.0941
Design Thinking Professional,cert_1,5,li_4428474361,Product Designer,Quantifind,linkedin,2.7409
