course_name,rank,job_id,job_title,job_company,job_source,course_job_score_max
Algoritma dan Pemrograman,1,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-2.2181
Algoritma dan Pemrograman,2,li_4373708675,Software Engineer,Avid Technology Professionals,linkedin,-2.47
Algoritma dan Pemrograman,3,li_4433237538,Software Developer,Altec,linkedin,-2.8238
Algoritma dan Pemrograman,4,li_3815119724,Software,Bay Mortgage Services,linkedin,-2.8872
Algoritma dan Pemrograman,5,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,-3.3447
Analisis dan Perancangan Sistem Informasi,1,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,0.4049
Analisis dan Perancangan Sistem Informasi,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-0.7791
Analisis dan Perancangan Sistem Informasi,3,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,-1.6679
Analisis dan Perancangan Sistem Informasi,4,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-2.2021
Analisis dan Perancangan Sistem Informasi,5,li_3815119724,Software,Bay Mortgage Services,linkedin,-2.2978
Arsitektur Enterprise,1,li_4405260780,Machine Learning (ML) Engineer,Vectara,linkedin,1.8557
Arsitektur Enterprise,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,1.0489
Arsitektur Enterprise,3,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,0.6573
Arsitektur Enterprise,4,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,0.4154
Arsitektur Enterprise,5,li_4346417366,Machine Learning Engineer,Happy Elements,linkedin,-0.11
Data Warehouse dan Business Intelligence,1,li_3815119724,Software,Bay Mortgage Services,linkedin,-0.9852
Data Warehouse dan Business Intelligence,2,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,-1.4075
Data Warehouse dan Business Intelligence,3,gd_1010181109261,Informaticist 2,CenterWell Senior Primary Care,glassdoor,-1.5572
Data Warehouse dan Business Intelligence,4,li_4434389490,Software Engineer,Carnegie Mellon University,linkedin,-1.8897
Data Warehouse dan Business Intelligence,5,li_4435377657,Software Engineer,Software Engineering Institute | Carnegie Mellon University,linkedin,-1.8897
Integrasi Aplikasi Enterprise,1,li_4411864449,ES Application Developer II,University of Houston,linkedin,5.4812
Integrasi Aplikasi Enterprise,2,li_4405260780,Machine Learning (ML) Engineer,Vectara,linkedin,2.4128
Integrasi Aplikasi Enterprise,3,li_4372153003,Applied ML Engineer,Kognitos,linkedin,2.2113
Integrasi Aplikasi Enterprise,4,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,0.4922
Integrasi Aplikasi Enterprise,5,li_4436152639,"Enterprise Data & Analytics Analyst, Platform Engineering",First Hawaiian Bank,linkedin,0.1678
Jaringan Komputer,1,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,-1.2024
Jaringan Komputer,2,li_4422384759,Machine Learning Operations Engineer,Sintela,linkedin,-3.2449
Jaringan Komputer,3,li_4403509120,Software Engineer,KIHOMAC,linkedin,-3.511
Jaringan Komputer,4,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-3.6951
Jaringan Komputer,5,li_4327166527,Computer Scientist - Mid,"Bluehawk LLC, Intelligence Services",linkedin,-3.7227
Keamanan Sistem Informasi,1,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-1.2758
Keamanan Sistem Informasi,2,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-1.4011
Keamanan Sistem Informasi,3,li_3815119724,Software,Bay Mortgage Services,linkedin,-1.4208
Keamanan Sistem Informasi,4,li_4363726700,Software Engineer,Oso,linkedin,-2.5269
Keamanan Sistem Informasi,5,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin,-2.8941
Manajemen Proyek Sistem Informasi,1,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,-1.4064
Manajemen Proyek Sistem Informasi,2,gd_1010139624650,Research Assistant 1- Word Learning Lab,Boys Town National Research Hospital,glassdoor,-3.1092
Manajemen Proyek Sistem Informasi,3,li_3815119724,Software,Bay Mortgage Services,linkedin,-3.994
Manajemen Proyek Sistem Informasi,4,li_4430289828,Software Engineer II,Arcfield,linkedin,-4.6527
Manajemen Proyek Sistem Informasi,5,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,-4.821
Pemodelan Proses Bisnis,1,li_4429570401,Business Intelligence Analyst,Quanta Power Solutions,linkedin,-3.1577
Pemodelan Proses Bisnis,2,li_4422384759,Machine Learning Operations Engineer,Sintela,linkedin,-3.4422
Pemodelan Proses Bisnis,3,gd_1010109391172,AI Tutor - Tagalog,x.ai,glassdoor,-3.9255
Pemodelan Proses Bisnis,4,li_4363726700,Software Engineer,Oso,linkedin,-4.4737
Pemodelan Proses Bisnis,5,li_4409724477,Business Intelligence Analyst,Liebherr USA,linkedin,-4.6748
Pemrograman Berorientasi Objek,1,li_4363726700,Software Engineer,Oso,linkedin,-0.9706
Pemrograman Berorientasi Objek,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-1.7492
Pemrograman Berorientasi Objek,3,li_4403509120,Software Engineer,KIHOMAC,linkedin,-1.82
Pemrograman Berorientasi Objek,4,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-1.8264
Pemrograman Berorientasi Objek,5,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-2.0271
Penambangan Data,1,li_4429459188,Data Scientist - NLP,Analytica,linkedin,2.227
Penambangan Data,2,li_4425297677,Data Scientist,Google,linkedin,1.092
Penambangan Data,3,li_4435439591,Data Analyst,DBD International,linkedin,0.5704
Penambangan Data,4,li_4419083864,Data Analyst - Rental,The Home Depot,linkedin,0.5326
Penambangan Data,5,li_4432106356,Data Analytics Specialist,Amentum,linkedin,0.2853
Pengantar Sistem Informasi,1,li_4428505624,Business Systems Analyst,CACI International Inc,linkedin,-0.4856
Pengantar Sistem Informasi,2,li_4435439591,Data Analyst,DBD International,linkedin,-2.3177
Pengantar Sistem Informasi,3,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-2.6151
Pengantar Sistem Informasi,4,li_4434016802,Back End Developer,Cooler Master USA,linkedin,-2.7991
Pengantar Sistem Informasi,5,li_3815119724,Software,Bay Mortgage Services,linkedin,-2.9722
Pengembangan Aplikasi Website,1,li_4427706568,"Web Developer (HTML,CSS) | Remote",Crossing Hurdles,linkedin,5.6519
Pengembangan Aplikasi Website,2,li_4414938843,Web Apps Developer,Halvik,linkedin,3.5002
Pengembangan Aplikasi Website,3,li_4426358084,Full Stack Developer,Levin Furniture & Mattress,linkedin,3.2634
Pengembangan Aplikasi Website,4,li_4402733831,Full Stack Developer,Scientific Research Corporation,linkedin,2.1327
Pengembangan Aplikasi Website,5,li_4427730735,UI Frontend Developer,Unissant,linkedin,1.6203
Pengembangan Sistem Cerdas,1,li_4387561209,AI Engineer,Avid Technology Professionals,linkedin,3.1608
Pengembangan Sistem Cerdas,2,li_4423127415,Machine Learning Engineer,Oho Group,linkedin,2.1751
Pengembangan Sistem Cerdas,3,li_4432488212,Machine Learning Engineer,Harrison Clarke,linkedin,2.0623
Pengembangan Sistem Cerdas,4,gd_1007506508998,Science Policy Postdocs,European Business Reliance Centre,glassdoor,1.8885
Pengembangan Sistem Cerdas,5,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,1.6618
Perancangan Interaksi,1,li_4431711270,UX Designer,MDAEdge,linkedin,3.3702
Perancangan Interaksi,2,li_4431725005,UX Designer,MDAEdge,linkedin,1.8737
Perancangan Interaksi,3,li_4433350882,Figma Designer,TekValue IT Solutions,linkedin,1.7834
Perancangan Interaksi,4,li_4433193265,UX Designer,Scale.jobs,linkedin,1.6087
Perancangan Interaksi,5,li_4401451723,Experience Designer,EGO,linkedin,1.3348
Proyek Perangkat Lunak,1,li_4418898971,Software Engineer II (Frontend),"Scribd, Inc.",linkedin,-1.8334
Proyek Perangkat Lunak,2,li_4419003903,Software Engineer II (Frontend),"Scribd, Inc.",linkedin,-1.8334
Proyek Perangkat Lunak,3,li_4419576589,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-1.8572
Proyek Perangkat Lunak,4,li_4419576591,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-1.8572
Proyek Perangkat Lunak,5,li_4419568698,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-1.8572
Rekayasa Proses Bisnis,1,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,0.5643
Rekayasa Proses Bisnis,2,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,-1.8968
Rekayasa Proses Bisnis,3,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,-1.8968
Rekayasa Proses Bisnis,4,li_4363726700,Software Engineer,Oso,linkedin,-2.8215
Rekayasa Proses Bisnis,5,li_4424958127,Product Designer,Plot,linkedin,-3.3801
Sistem Basis Data,1,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-2.922
Sistem Basis Data,2,li_4363726700,Software Engineer,Oso,linkedin,-2.9232
Sistem Basis Data,3,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,-2.987
Sistem Basis Data,4,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,-2.987
Sistem Basis Data,5,li_3815119724,Software,Bay Mortgage Services,linkedin,-3.0999
Sistem Enterprise,1,li_4363726700,Software Engineer,Oso,linkedin,0.9984
Sistem Enterprise,2,li_4429955515,Product Designer,Conduct,linkedin,0.7079
Sistem Enterprise,3,li_4387607502,"Software Engineer, Full Stack",Boom Supersonic,linkedin,0.7032
Sistem Enterprise,4,li_4433708125,Software Engineer,Albert Bow,linkedin,0.0204
Sistem Enterprise,5,li_4205003719,Software Engineer,Middesk,linkedin,-0.108
Sistem Informasi Akuntansi,1,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,-0.3324
Sistem Informasi Akuntansi,2,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,-0.3324
Sistem Informasi Akuntansi,3,li_4428505624,Business Systems Analyst,CACI International Inc,linkedin,-1.4296
Sistem Informasi Akuntansi,4,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-1.7127
Sistem Informasi Akuntansi,5,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-2.6846
Sistem Operasi,1,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,1.9842
Sistem Operasi,2,li_3815119724,Software,Bay Mortgage Services,linkedin,1.1739
Sistem Operasi,3,li_4410318166,JOB-6719,ALTEN,linkedin,-0.5028
Sistem Operasi,4,li_4375997156,Data Analyst,Chubb,linkedin,-0.5378
Sistem Operasi,5,li_4426669408,Software Developer,Zekiah Technologies,linkedin,-0.9885
Tata Kelola dan Manajemen Teknologi Informasi,1,li_3815119724,Software,Bay Mortgage Services,linkedin,-1.6918
Tata Kelola dan Manajemen Teknologi Informasi,2,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-1.9169
Tata Kelola dan Manajemen Teknologi Informasi,3,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-2.3311
Tata Kelola dan Manajemen Teknologi Informasi,4,li_3686416246,Epicor Software Programmer,"Patriot Machine, Inc.",linkedin,-2.7128
Tata Kelola dan Manajemen Teknologi Informasi,5,li_4363726700,Software Engineer,Oso,linkedin,-3.4375
