kode_mk,khs_course,grade_weight,matched_course_name,match_confidence,included,match_explanation
-,Pemodelan Proses Bisnis,0.8,Pemodelan Proses Bisnis,1.0,True,"MK KHS 'Pemodelan Proses Bisnis' dipetakan ke katalog CLO 'Pemodelan Proses Bisnis' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK1AAB4,Algoritma dan Pemrograman,0.8,Algoritma dan Pemrograman,1.0,True,"MK KHS 'Algoritma dan Pemrograman' dipetakan ke katalog CLO 'Algoritma dan Pemrograman' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK1DAB3,Pengantar Sistem Informasi,0.85,Pengantar Sistem Informasi,1.0,True,"MK KHS 'Pengantar Sistem Informasi' dipetakan ke katalog CLO 'Pengantar Sistem Informasi' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK1EAB3,Sistem Enterprise,0.8,Sistem Enterprise,1.0,True,"MK KHS 'Sistem Enterprise' dipetakan ke katalog CLO 'Sistem Enterprise' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK1GAB3,Jaringan Komputer,0.6,Jaringan Komputer,1.0,True,"MK KHS 'Jaringan Komputer' dipetakan ke katalog CLO 'Jaringan Komputer' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK1JAB3,Pemrograman Berorientasi Objek,0.8,Pemrograman Berorientasi Objek,1.0,True,"MK KHS 'Pemrograman Berorientasi Objek' dipetakan ke katalog CLO 'Pemrograman Berorientasi Objek' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK1LAB3,Sistem Basis Data,0.85,Sistem Basis Data,1.0,True,"MK KHS 'Sistem Basis Data' dipetakan ke katalog CLO 'Sistem Basis Data' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,0.85,Analisis dan Perancangan Sistem Informasi,1.0,True,"MK KHS 'Analisis dan Perancangan Sistem Informasi' dipetakan ke katalog CLO 'Analisis dan Perancangan Sistem Informasi' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK2DAB3,Pengembangan Aplikasi Website,0.8,Pengembangan Aplikasi Website,1.0,True,"MK KHS 'Pengembangan Aplikasi Website' dipetakan ke katalog CLO 'Pengembangan Aplikasi Website' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK2EAB3,Perancangan Interaksi,0.8,Perancangan Interaksi,1.0,True,"MK KHS 'Perancangan Interaksi' dipetakan ke katalog CLO 'Perancangan Interaksi' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK2FAB3,Sistem Operasi,0.7,Sistem Operasi,1.0,True,"MK KHS 'Sistem Operasi' dipetakan ke katalog CLO 'Sistem Operasi' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK2HAB3,Integrasi Aplikasi Enterprise,0.8,Integrasi Aplikasi Enterprise,1.0,True,"MK KHS 'Integrasi Aplikasi Enterprise' dipetakan ke katalog CLO 'Integrasi Aplikasi Enterprise' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK2IAB3,Keamanan Sistem Informasi,0.85,Keamanan Sistem Informasi,1.0,True,"MK KHS 'Keamanan Sistem Informasi' dipetakan ke katalog CLO 'Keamanan Sistem Informasi' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK2JAB3,Manajemen Proyek Sistem Informasi,0.85,Manajemen Proyek Sistem Informasi,1.0,True,"MK KHS 'Manajemen Proyek Sistem Informasi' dipetakan ke katalog CLO 'Manajemen Proyek Sistem Informasi' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK2LAB3,Penambangan Data,0.85,Penambangan Data,1.0,True,"MK KHS 'Penambangan Data' dipetakan ke katalog CLO 'Penambangan Data' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK2NAB3,Rekayasa Proses Bisnis,0.55,Rekayasa Proses Bisnis,1.0,True,"MK KHS 'Rekayasa Proses Bisnis' dipetakan ke katalog CLO 'Rekayasa Proses Bisnis' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
BBK3AAB3,Arsitektur Enterprise,0.8,Arsitektur Enterprise,1.0,True,"MK KHS 'Arsitektur Enterprise' dipetakan ke katalog CLO 'Arsitektur Enterprise' dengan kemiripan nama 100% (ambang batas 55%), sehingga ikut dihitung dalam skor rekomendasi."
