job_id,job_title,feature,shap_value,base_value
li_4431725005,UX Designer,MK: Perancangan Interaksi,1.499,0.0
li_4431725005,UX Designer,Sertifikat: Google UX Design,5.463,0.0
li_4433193265,UX Designer,MK: Perancangan Interaksi,1.287,0.0
li_4433193265,UX Designer,Sertifikat: Google UX Design,5.3631,0.0
li_4324763342,UX/UI Designer,Sertifikat: Google UX Design,5.0232,0.0
li_4290752432,UI/UX Designer,Sertifikat: Google UX Design,4.7824,0.0
li_4433431526,Model UX Designer,Sertifikat: Google UX Design,4.5368,0.0
li_4427706568,"Web Developer (HTML,CSS) | Remote",MK: Pengembangan Aplikasi Website,4.5215,0.0
li_4411864449,ES Application Developer II,MK: Integrasi Aplikasi Enterprise,4.385,0.0
li_4405260780,Machine Learning (ML) Engineer,MK: Integrasi Aplikasi Enterprise,1.9302,0.0
li_4405260780,Machine Learning (ML) Engineer,MK: Arsitektur Enterprise,1.4846,0.0
li_4414938843,Web Apps Developer,MK: Pengembangan Aplikasi Website,2.8002,0.0
li_4431711270,UX Designer,MK: Perancangan Interaksi,2.6962,0.0
li_4387561209,AI Engineer,MK: Pengembangan Sistem Cerdas,2.6867,0.0
li_4426358084,Full Stack Developer,MK: Pengembangan Aplikasi Website,2.6107,0.0
li_4429459188,Data Scientist - NLP,MK: Penambangan Data,1.8929,0.0
li_4401451723,Experience Designer,MK: Perancangan Interaksi,1.0678,0.0
li_4401451723,Experience Designer,Sertifikat: Design Thinking Professional,0.7956,0.0
li_4423127415,Machine Learning Engineer,MK: Pengembangan Sistem Cerdas,1.8488,0.0
